class_id,disease,support,correct,incorrect,accuracy,error_rate
0,class_0,13,8,5,0.6153846153846154,0.3846153846153846
1,class_1,27,3,24,0.1111111111111111,0.8888888888888888
2,class_2,51,32,19,0.6274509803921569,0.37254901960784315
3,class_3,10,1,9,0.1,0.9
4,class_4,14,6,8,0.42857142857142855,0.5714285714285714
5,class_5,26,8,18,0.3076923076923077,0.6923076923076923
6,class_6,64,24,40,0.375,0.625
7,class_7,10,4,6,0.4,0.6
8,class_8,70,28,42,0.4,0.6
9,class_9,9,1,8,0.1111111111111111,0.8888888888888888
10,class_10,10,6,4,0.6,0.4
11,class_11,8,3,5,0.375,0.625
12,class_12,12,4,8,0.3333333333333333,0.6666666666666667
13,class_13,15,5,10,0.3333333333333333,0.6666666666666667
14,class_14,10,4,6,0.4,0.6
15,class_15,22,0,22,0.0,1.0
16,class_16,12,5,7,0.4166666666666667,0.5833333333333333
17,class_17,21,8,13,0.38095238095238093,0.6190476190476191
18,class_18,9,5,4,0.5555555555555556,0.4444444444444444
19,class_19,30,9,21,0.3,0.7
20,class_20,10,0,10,0.0,1.0
21,class_21,11,1,10,0.09090909090909091,0.9090909090909091
22,class_22,29,4,25,0.13793103448275862,0.8620689655172413
23,class_23,20,17,3,0.85,0.15000000000000002
24,class_24,14,6,8,0.42857142857142855,0.5714285714285714
25,class_25,10,0,10,0.0,1.0
26,class_26,13,6,7,0.46153846153846156,0.5384615384615384
27,class_27,8,4,4,0.5,0.5
28,class_28,35,15,20,0.42857142857142855,0.5714285714285714
29,class_29,11,5,6,0.45454545454545453,0.5454545454545454
30,class_30,9,4,5,0.4444444444444444,0.5555555555555556
31,class_31,18,5,13,0.2777777777777778,0.7222222222222222
32,class_32,51,38,13,0.7450980392156863,0.2549019607843137
33,class_33,16,11,5,0.6875,0.3125
34,class_34,32,9,23,0.28125,0.71875
35,class_35,11,6,5,0.5454545454545454,0.4545454545454546
36,class_36,27,21,6,0.7777777777777778,0.2222222222222222
37,class_37,11,5,6,0.45454545454545453,0.5454545454545454
38,class_38,15,6,9,0.4,0.6
39,class_39,9,1,8,0.1111111111111111,0.8888888888888888
40,class_40,15,7,8,0.4666666666666667,0.5333333333333333
41,class_41,22,10,12,0.45454545454545453,0.5454545454545454
42,class_42,21,11,10,0.5238095238095238,0.47619047619047616
43,class_43,22,16,6,0.7272727272727273,0.2727272727272727
44,class_44,12,2,10,0.16666666666666666,0.8333333333333334
45,class_45,9,6,3,0.6666666666666666,0.33333333333333337
46,class_46,13,8,5,0.6153846153846154,0.3846153846153846
47,class_47,11,6,5,0.5454545454545454,0.4545454545454546
