class_id,disease,support,correct,incorrect,accuracy,error_rate
0,acanthosis nigricans,13,8,5,0.6153846153846154,0.3846153846153846
1,acne,27,3,24,0.1111111111111111,0.8888888888888888
2,acne vulgaris,51,32,19,0.6274509803921569,0.3725490196078431
3,acquired autoimmune bullous diseaseherpes gestationis,10,1,9,0.1,0.9
4,acrodermatitis enteropathica,14,6,8,0.4285714285714285,0.5714285714285714
5,actinic keratosis,26,8,18,0.3076923076923077,0.6923076923076923
6,allergic contact dermatitis,64,24,40,0.375,0.625
7,aplasia cutis,10,4,6,0.4,0.6
8,basal cell carcinoma,70,28,42,0.4,0.6
9,basal cell carcinoma morpheiform,9,1,8,0.1111111111111111,0.8888888888888888
10,becker nevus,10,6,4,0.6,0.4
11,behcets disease,8,3,5,0.375,0.625
12,calcinosis cutis,12,4,8,0.3333333333333333,0.6666666666666667
13,cheilitis,15,5,10,0.3333333333333333,0.6666666666666667
14,congenital nevus,10,4,6,0.4,0.6
15,dariers disease,22,0,22,0.0,1.0
16,dermatofibroma,12,5,7,0.4166666666666667,0.5833333333333333
17,dermatomyositis,21,8,13,0.3809523809523809,0.6190476190476191
18,disseminated actinic porokeratosis,9,5,4,0.5555555555555556,0.4444444444444444
19,drug eruption,30,9,21,0.3,0.7
20,drug induced pigmentary changes,10,0,10,0.0,1.0
21,dyshidrotic eczema,11,1,10,0.0909090909090909,0.9090909090909092
22,eczema,29,4,25,0.1379310344827586,0.8620689655172413
23,ehlers danlos syndrome,20,17,3,0.85,0.15
24,epidermal nevus,14,6,8,0.4285714285714285,0.5714285714285714
25,epidermolysis bullosa,10,0,10,0.0,1.0
26,erythema annulare centrifigum,13,6,7,0.4615384615384615,0.5384615384615384
27,erythema elevatum diutinum,8,4,4,0.5,0.5
28,erythema multiforme,35,15,20,0.4285714285714285,0.5714285714285714
29,erythema nodosum,11,5,6,0.4545454545454545,0.5454545454545454
30,factitial dermatitis,9,4,5,0.4444444444444444,0.5555555555555556
31,fixed eruptions,18,5,13,0.2777777777777778,0.7222222222222222
32,folliculitis,51,38,13,0.7450980392156863,0.2549019607843137
33,fordyce spots,16,11,5,0.6875,0.3125
34,granuloma annulare,32,9,23,0.28125,0.71875
35,granuloma pyogenic,11,6,5,0.5454545454545454,0.4545454545454546
36,hailey hailey disease,27,21,6,0.7777777777777778,0.2222222222222222
37,halo nevus,11,5,6,0.4545454545454545,0.5454545454545454
38,hidradenitis,15,6,9,0.4,0.6
39,ichthyosis vulgaris,9,1,8,0.1111111111111111,0.8888888888888888
40,incontinentia pigmenti,15,7,8,0.4666666666666667,0.5333333333333333
