true_disease,predicted_disease,error_count
basal cell carcinoma,squamous cell carcinoma,10
squamous cell carcinoma,basal cell carcinoma,7
rosacea,rhinophyma,6
photodermatoses,allergic contact dermatitis,6
psoriasis,lichen planus,5
acne,acne vulgaris,5
melanoma,superficial spreading melanoma ssm,5
photodermatoses,folliculitis,5
telangiectases,dermatomyositis,4
lupus erythematosus,dermatomyositis,4
sarcoidosis,lupus erythematosus,4
melanoma,basal cell carcinoma,4
nevocytic nevus,superficial spreading melanoma ssm,4
eczema,folliculitis,4
allergic contact dermatitis,eczema,4
drug eruption,psoriasis,4
nevus sebaceous of jadassohn,folliculitis,4
squamous cell carcinoma,eczema,4
squamous cell carcinoma,folliculitis,4
psoriasis,dermatomyositis,4
halo nevus,juvenile xanthogranuloma,3
psoriasis,erythema multiforme,3
psoriasis,eczema,3
psoriasis,langerhans cell histiocytosis,3
psoriasis,allergic contact dermatitis,3
port wine stain,sarcoidosis,3
porphyria,psoriasis,3
juvenile xanthogranuloma,folliculitis,3
acne vulgaris,acne,3
acne vulgaris,folliculitis,3
keratosis pilaris,folliculitis,3
actinic keratosis,squamous cell carcinoma,3
allergic contact dermatitis,psoriasis,3
squamous cell carcinoma,fordyce spots,3
squamous cell carcinoma,psoriasis,3
seborrheic keratosis,superficial spreading melanoma ssm,3
congenital nevus,urticaria pigmentosa,3
cheilitis,perioral dermatitis,3
eczema,psoriasis,3
erythema annulare centrifigum,erythema multiforme,3
erythema multiforme,neutrophilic dermatoses,3
basal cell carcinoma morpheiform,squamous cell carcinoma,3
psoriasis,seborrheic dermatitis,3
erythema nodosum,allergic contact dermatitis,3
basal cell carcinoma,solid cystic basal cell carcinoma,3
basal cell carcinoma,pyogenic granuloma,3
basal cell carcinoma,melanoma,3
basal cell carcinoma,lupus erythematosus,3
actinic keratosis,eczema,3
basal cell carcinoma,actinic keratosis,3
allergic contact dermatitis,stasis edema,3
psoriasis,lupus erythematosus,3
striae,urticaria,3
melanoma,psoriasis,3
paronychia,psoriasis,3
mycosis fungoides,sarcoidosis,3
urticaria,scleroderma,3
melanoma,scleroderma,3
photodermatoses,lyme disease,3
photodermatoses,eczema,3
vitiligo,pityriasis rubra pilaris,3
melanoma,squamous cell carcinoma,3
lichen planus,prurigo nodularis,3
malignant melanoma,superficial spreading melanoma ssm,3
scabies,allergic contact dermatitis,2
sarcoidosis,neutrophilic dermatoses,2
scabies,nematode infection,2
scabies,neutrophilic dermatoses,2
scabies,pediculosis lids,2
scleroderma,erythema nodosum,2
scabies,folliculitis,2
erythema multiforme,keratosis pilaris,2
erythema multiforme,photodermatoses,2
erythema multiforme,psoriasis,2
neurofibromatosis,squamous cell carcinoma,2
erythema multiforme,stevens johnson syndrome,2
malignant melanoma,dermatofibroma,2
malignant melanoma,basal cell carcinoma,2
sarcoidosis,lichen amyloidosis,2
neutrophilic dermatoses,allergic contact dermatitis,2
neutrophilic dermatoses,erythema multiforme,2
sarcoidosis,folliculitis,2
sarcoidosis,erythema multiforme,2
lymphangioma,folliculitis,2
scleroderma,allergic contact dermatitis,2
dariers disease,scabies,2
dariers disease,pityriasis rubra pilaris,2
naevus comedonicus,acne,2
mycosis fungoides,dariers disease,2
squamous cell carcinoma,behcets disease,2
necrobiosis lipoidica,folliculitis,2
necrobiosis lipoidica,sarcoidosis,2
dermatomyositis,scabies,2
disseminated actinic porokeratosis,prurigo nodularis,2
nematode infection,lupus erythematosus,2
mucinosis,lyme disease,2
drug eruption,stevens johnson syndrome,2
scleroderma,juvenile xanthogranuloma,2
