disease,support,precision,recall,f1,class_id_for_mapping,disease_name,display_disease
class_108,23.0,0.8461538461538461,0.9565217391304348,0.8979591836734694,108,tungiasis,tungiasis
class_81,27.0,0.88,0.8148148148148148,0.8461538461538461,81,porokeratosis actinic,porokeratosis actinic
class_71,23.0,0.8,0.8695652173913043,0.8333333333333334,71,papilomatosis confluentes and reticulate,papilomatosis confluentes and reticulate
class_36,27.0,0.84,0.7777777777777778,0.8076923076923077,36,hailey hailey disease,hailey hailey disease
class_80,41.0,0.6862745098039216,0.8536585365853658,0.7608695652173914,80,pityriasis rubra pilaris,pityriasis rubra pilaris
class_73,22.0,0.6060606060606061,0.9090909090909092,0.7272727272727273,73,pediculosis lids,pediculosis lids
class_46,13.0,0.8888888888888888,0.6153846153846154,0.7272727272727273,46,lentigo maligna,lentigo maligna
class_43,22.0,0.7272727272727273,0.7272727272727273,0.7272727272727273,43,keloid,keloid
class_104,18.0,0.6842105263157895,0.7222222222222222,0.7027027027027027,104,syringoma,syringoma
class_23,20.0,0.5666666666666667,0.85,0.68,23,ehlers danlos syndrome,ehlers danlos syndrome
class_49,14.0,0.8,0.5714285714285714,0.6666666666666666,49,lichen simplex,lichen simplex
class_62,10.0,1.0,0.5,0.6666666666666666,62,naevus comedonicus,naevus comedonicus
class_64,38.0,0.58,0.7631578947368421,0.6590909090909091,64,nematode infection,nematode infection
class_27,8.0,0.8,0.5,0.6153846153846154,27,erythema elevatum diutinum,erythema elevatum diutinum
class_30,9.0,1.0,0.4444444444444444,0.6153846153846154,30,factitial dermatitis,factitial dermatitis
class_85,25.0,0.5294117647058824,0.72,0.6101694915254238,85,prurigo nodularis,prurigo nodularis
class_2,51.0,0.5925925925925926,0.6274509803921569,0.6095238095238096,2,acne vulgaris,acne vulgaris
class_10,10.0,0.6,0.6,0.6,10,becker nevus,becker nevus
class_4,14.0,1.0,0.4285714285714285,0.6,4,acrodermatitis enteropathica,acrodermatitis enteropathica
class_33,16.0,0.5238095238095238,0.6875,0.5945945945945946,33,fordyce spots,fordyce spots
class_79,28.0,0.6153846153846154,0.5714285714285714,0.5925925925925926,79,pityriasis rosea,pityriasis rosea
class_18,9.0,0.625,0.5555555555555556,0.5882352941176471,18,disseminated actinic porokeratosis,disseminated actinic porokeratosis
class_92,51.0,0.5882352941176471,0.5882352941176471,0.5882352941176471,92,scabies,scabies
class_111,24.0,0.6190476190476191,0.5416666666666666,0.5777777777777777,111,vitiligo,vitiligo
class_61,9.0,0.8,0.4444444444444444,0.5714285714285714,61,myiasis,myiasis
class_66,27.0,0.6363636363636364,0.5185185185185185,0.5714285714285714,66,neurofibromatosis,neurofibromatosis
class_89,14.0,0.4761904761904761,0.7142857142857143,0.5714285714285714,89,rhinophyma,rhinophyma
class_42,21.0,0.5789473684210527,0.5238095238095238,0.55,42,kaposi sarcoma,kaposi sarcoma
class_78,10.0,0.4375,0.7,0.5384615384615384,78,pityriasis lichenoides chronica,pityriasis lichenoides chronica
class_63,18.0,0.4782608695652174,0.6111111111111112,0.5365853658536586,63,necrobiosis lipoidica,necrobiosis lipoidica
class_107,21.0,0.55,0.5238095238095238,0.5365853658536586,107,tuberous sclerosis,tuberous sclerosis
class_50,9.0,0.5,0.5555555555555556,0.5263157894736842,50,livedo reticularis,livedo reticularis
class_48,74.0,0.5522388059701493,0.5,0.524822695035461,48,lichen planus,lichen planus
class_45,9.0,0.4285714285714285,0.6666666666666666,0.5217391304347826,45,langerhans cell histiocytosis,langerhans cell histiocytosis
class_26,13.0,0.6,0.4615384615384615,0.5217391304347826,26,erythema annulare centrifigum,erythema annulare centrifigum
class_24,14.0,0.6666666666666666,0.4285714285714285,0.5217391304347826,24,epidermal nevus,epidermal nevus
class_35,11.0,0.5,0.5454545454545454,0.5217391304347826,35,granuloma pyogenic,granuloma pyogenic
class_68,55.0,0.4918032786885246,0.5454545454545454,0.5172413793103449,68,neutrophilic dermatoses,neutrophilic dermatoses
class_0,13.0,0.4444444444444444,0.6153846153846154,0.5161290322580645,0,acanthosis nigricans,acanthosis nigricans
class_94,15.0,0.5384615384615384,0.4666666666666667,0.5,94,scleromyxedema,scleromyxedema
class_98,88.0,0.5125,0.4659090909090909,0.4880952380952381,98,squamous cell carcinoma,squamous cell carcinoma
class_32,51.0,0.3584905660377358,0.7450980392156863,0.4840764331210191,32,folliculitis,folliculitis
class_47,11.0,0.4285714285714285,0.5454545454545454,0.48,47,lichen amyloidosis,lichen amyloidosis
class_57,17.0,0.75,0.3529411764705882,0.48,57,milia,milia
class_37,11.0,0.5,0.4545454545454545,0.4761904761904761,37,halo nevus,halo nevus
