class_id,disease,best_group_accuracy,worst_group_accuracy,accuracy_gap,accuracy_gap_percentage_points
7,aplasia cutis,1.0,0.0,1.0,100.0
5,actinic keratosis,1.0,0.0,1.0,100.0
27,erythema elevatum diutinum,1.0,0.0,1.0,100.0
47,lichen amyloidosis,1.0,0.0,1.0,100.0
30,factitial dermatitis,1.0,0.0,1.0,100.0
59,mucous cyst,1.0,0.0,1.0,100.0
80,pityriasis rubra pilaris,1.0,0.0,1.0,100.0
105,telangiectases,1.0,0.0,1.0,100.0
88,pyogenic granuloma,1.0,0.0833333333333333,0.9166666666666666,91.66666666666666
42,kaposi sarcoma,0.9,0.0,0.9,90.0
57,milia,1.0,0.1,0.9,90.0
76,pilar cyst,1.0,0.1428571428571428,0.8571428571428572,85.71428571428572
17,dermatomyositis,0.8571428571428571,0.0,0.8571428571428571,85.71428571428571
93,scleroderma,0.8571428571428571,0.0,0.8571428571428571,85.71428571428571
64,nematode infection,0.8333333333333334,0.0,0.8333333333333334,83.33333333333334
45,langerhans cell histiocytosis,0.8333333333333334,0.0,0.8333333333333334,83.33333333333334
66,neurofibromatosis,0.8181818181818182,0.0,0.8181818181818182,81.81818181818183
13,cheilitis,1.0,0.2,0.8,80.0
113,xeroderma pigmentosum,0.8,0.0,0.8,80.0
61,myiasis,0.75,0.0,0.75,75.0
35,granuloma pyogenic,0.75,0.0,0.75,75.0
6,allergic contact dermatitis,1.0,0.282051282051282,0.717948717948718,71.7948717948718
95,seborrheic dermatitis,0.7142857142857143,0.0,0.7142857142857143,71.42857142857143
38,hidradenitis,0.7142857142857143,0.0,0.7142857142857143,71.42857142857143
2,acne vulgaris,0.7142857142857143,0.0,0.7142857142857143,71.42857142857143
60,mycosis fungoides,0.7,0.0,0.7,70.0
48,lichen planus,0.6774193548387096,0.0,0.6774193548387096,67.74193548387096
8,basal cell carcinoma,1.0,0.3333333333333333,0.6666666666666667,66.66666666666667
62,naevus comedonicus,1.0,0.3333333333333333,0.6666666666666667,66.66666666666667
37,halo nevus,1.0,0.3333333333333333,0.6666666666666667,66.66666666666667
24,epidermal nevus,0.6666666666666666,0.0,0.6666666666666666,66.66666666666666
4,acrodermatitis enteropathica,0.6666666666666666,0.0,0.6666666666666666,66.66666666666666
46,lentigo maligna,0.6666666666666666,0.0,0.6666666666666666,66.66666666666666
111,vitiligo,0.6363636363636364,0.0,0.6363636363636364,63.63636363636363
41,juvenile xanthogranuloma,0.6,0.0,0.6,60.0
0,acanthosis nigricans,0.8333333333333334,0.25,0.5833333333333334,58.333333333333336
14,congenital nevus,0.75,0.1666666666666666,0.5833333333333334,58.333333333333336
103,superficial spreading melanoma ssm,0.5714285714285714,0.0,0.5714285714285714,57.14285714285714
18,disseminated actinic porokeratosis,1.0,0.4285714285714285,0.5714285714285714,57.14285714285714
28,erythema multiforme,0.5333333333333333,0.0,0.5333333333333333,53.333333333333336
34,granuloma annulare,0.5333333333333333,0.0,0.5333333333333333,53.333333333333336
85,prurigo nodularis,0.9285714285714286,0.4,0.5285714285714286,52.85714285714286
52,lupus subacute,0.5,0.0,0.5,50.0
106,tick bite,0.5,0.0,0.5,50.0
110,urticaria pigmentosa,0.6,0.1,0.5,50.0
99,stasis edema,0.5,0.0,0.5,50.0
63,necrobiosis lipoidica,1.0,0.5,0.5,50.0
55,malignant melanoma,0.5,0.0,0.5,50.0
11,behcets disease,0.5,0.0,0.5,50.0
51,lupus erythematosus,0.7142857142857143,0.217391304347826,0.4968944099378882,49.68944099378882
109,urticaria,0.75,0.2727272727272727,0.4772727272727273,47.72727272727273
56,melanoma,0.4615384615384615,0.0,0.4615384615384615,46.15384615384615
1,acne,0.5,0.0588235294117647,0.4411764705882353,44.11764705882353
