class_id,disease,skin_tone_group,support,correct,incorrect,accuracy,error_rate
0,class_0,Light,3,2,1,0.6666666666666666,0.33333333333333337
0,class_0,Medium,6,5,1,0.8333333333333334,0.16666666666666663
0,class_0,Dark,4,1,3,0.25,0.75
0,class_0,Unknown,0,0,0,,
1,class_1,Light,17,1,16,0.058823529411764705,0.9411764705882353
1,class_1,Medium,8,1,7,0.125,0.875
1,class_1,Dark,2,1,1,0.5,0.5
1,class_1,Unknown,0,0,0,,
2,class_2,Light,33,22,11,0.6666666666666666,0.33333333333333337
2,class_2,Medium,14,10,4,0.7142857142857143,0.2857142857142857
2,class_2,Dark,4,0,4,0.0,1.0
2,class_2,Unknown,0,0,0,,
3,class_3,Light,7,1,6,0.14285714285714285,0.8571428571428572
3,class_3,Medium,3,0,3,0.0,1.0
3,class_3,Dark,0,0,0,,
3,class_3,Unknown,0,0,0,,
4,class_4,Light,7,2,5,0.2857142857142857,0.7142857142857143
4,class_4,Medium,6,4,2,0.6666666666666666,0.33333333333333337
4,class_4,Dark,1,0,1,0.0,1.0
4,class_4,Unknown,0,0,0,,
5,class_5,Light,16,5,11,0.3125,0.6875
5,class_5,Medium,7,1,6,0.14285714285714285,0.8571428571428572
5,class_5,Dark,2,2,0,1.0,0.0
5,class_5,Unknown,1,0,1,0.0,1.0
6,class_6,Light,39,11,28,0.28205128205128205,0.717948717948718
6,class_6,Medium,20,9,11,0.45,0.55
6,class_6,Dark,4,3,1,0.75,0.25
6,class_6,Unknown,1,1,0,1.0,0.0
7,class_7,Light,8,3,5,0.375,0.625
7,class_7,Medium,1,1,0,1.0,0.0
7,class_7,Dark,0,0,0,,
7,class_7,Unknown,1,0,1,0.0,1.0
8,class_8,Light,36,12,24,0.3333333333333333,0.6666666666666667
8,class_8,Medium,28,13,15,0.4642857142857143,0.5357142857142857
8,class_8,Dark,5,2,3,0.4,0.6
8,class_8,Unknown,1,1,0,1.0,0.0
9,class_9,Light,8,1,7,0.125,0.875
9,class_9,Medium,1,0,1,0.0,1.0
9,class_9,Dark,0,0,0,,
9,class_9,Unknown,0,0,0,,
10,class_10,Light,7,5,2,0.7142857142857143,0.2857142857142857
10,class_10,Medium,3,1,2,0.3333333333333333,0.6666666666666667
10,class_10,Dark,0,0,0,,
10,class_10,Unknown,0,0,0,,
11,class_11,Light,3,1,2,0.3333333333333333,0.6666666666666667
11,class_11,Medium,4,2,2,0.5,0.5
11,class_11,Dark,1,0,1,0.0,1.0
11,class_11,Unknown,0,0,0,,
12,class_12,Light,8,2,6,0.25,0.75
12,class_12,Medium,2,1,1,0.5,0.5
12,class_12,Dark,2,1,1,0.5,0.5
12,class_12,Unknown,0,0,0,,
13,class_13,Light,8,2,6,0.25,0.75
13,class_13,Medium,5,1,4,0.2,0.8
13,class_13,Dark,1,1,0,1.0,0.0
13,class_13,Unknown,1,1,0,1.0,0.0
14,class_14,Light,6,1,5,0.16666666666666666,0.8333333333333334
14,class_14,Medium,4,3,1,0.75,0.25
14,class_14,Dark,0,0,0,,
14,class_14,Unknown,0,0,0,,
15,class_15,Light,8,0,8,0.0,1.0
15,class_15,Medium,8,0,8,0.0,1.0
15,class_15,Dark,6,0,6,0.0,1.0
15,class_15,Unknown,0,0,0,,
16,class_16,Light,7,3,4,0.42857142857142855,0.5714285714285714
16,class_16,Medium,5,2,3,0.4,0.6
16,class_16,Dark,0,0,0,,
16,class_16,Unknown,0,0,0,,
17,class_17,Light,12,2,10,0.16666666666666666,0.8333333333333334
17,class_17,Medium,7,6,1,0.8571428571428571,0.1428571428571429
17,class_17,Dark,2,0,2,0.0,1.0
17,class_17,Unknown,0,0,0,,
18,class_18,Light,7,3,4,0.42857142857142855,0.5714285714285714
18,class_18,Medium,2,2,0,1.0,0.0
18,class_18,Dark,0,0,0,,
18,class_18,Unknown,0,0,0,,
19,class_19,Light,16,4,12,0.25,0.75
19,class_19,Medium,10,4,6,0.4,0.6
19,class_19,Dark,4,1,3,0.25,0.75
19,class_19,Unknown,0,0,0,,
20,class_20,Light,4,0,4,0.0,1.0
20,class_20,Medium,5,0,5,0.0,1.0
20,class_20,Dark,1,0,1,0.0,1.0
20,class_20,Unknown,0,0,0,,
21,class_21,Light,7,0,7,0.0,1.0
21,class_21,Medium,3,1,2,0.3333333333333333,0.6666666666666667
21,class_21,Dark,1,0,1,0.0,1.0
