class_id,disease,skin_tone_group,support,correct,incorrect,accuracy,error_rate
0,acanthosis nigricans,Light,3,2,1,0.6666666666666666,0.3333333333333333
0,acanthosis nigricans,Medium,6,5,1,0.8333333333333334,0.1666666666666666
0,acanthosis nigricans,Dark,4,1,3,0.25,0.75
0,acanthosis nigricans,Unknown,0,0,0,,
1,acne,Light,17,1,16,0.0588235294117647,0.9411764705882352
1,acne,Medium,8,1,7,0.125,0.875
1,acne,Dark,2,1,1,0.5,0.5
1,acne,Unknown,0,0,0,,
2,acne vulgaris,Light,33,22,11,0.6666666666666666,0.3333333333333333
2,acne vulgaris,Medium,14,10,4,0.7142857142857143,0.2857142857142857
2,acne vulgaris,Dark,4,0,4,0.0,1.0
2,acne vulgaris,Unknown,0,0,0,,
3,acquired autoimmune bullous diseaseherpes gestationis,Light,7,1,6,0.1428571428571428,0.8571428571428572
3,acquired autoimmune bullous diseaseherpes gestationis,Medium,3,0,3,0.0,1.0
3,acquired autoimmune bullous diseaseherpes gestationis,Dark,0,0,0,,
3,acquired autoimmune bullous diseaseherpes gestationis,Unknown,0,0,0,,
4,acrodermatitis enteropathica,Light,7,2,5,0.2857142857142857,0.7142857142857143
4,acrodermatitis enteropathica,Medium,6,4,2,0.6666666666666666,0.3333333333333333
4,acrodermatitis enteropathica,Dark,1,0,1,0.0,1.0
4,acrodermatitis enteropathica,Unknown,0,0,0,,
5,actinic keratosis,Light,16,5,11,0.3125,0.6875
5,actinic keratosis,Medium,7,1,6,0.1428571428571428,0.8571428571428572
5,actinic keratosis,Dark,2,2,0,1.0,0.0
5,actinic keratosis,Unknown,1,0,1,0.0,1.0
6,allergic contact dermatitis,Light,39,11,28,0.282051282051282,0.717948717948718
6,allergic contact dermatitis,Medium,20,9,11,0.45,0.55
6,allergic contact dermatitis,Dark,4,3,1,0.75,0.25
6,allergic contact dermatitis,Unknown,1,1,0,1.0,0.0
7,aplasia cutis,Light,8,3,5,0.375,0.625
7,aplasia cutis,Medium,1,1,0,1.0,0.0
7,aplasia cutis,Dark,0,0,0,,
7,aplasia cutis,Unknown,1,0,1,0.0,1.0
8,basal cell carcinoma,Light,36,12,24,0.3333333333333333,0.6666666666666667
8,basal cell carcinoma,Medium,28,13,15,0.4642857142857143,0.5357142857142857
8,basal cell carcinoma,Dark,5,2,3,0.4,0.6
8,basal cell carcinoma,Unknown,1,1,0,1.0,0.0
9,basal cell carcinoma morpheiform,Light,8,1,7,0.125,0.875
9,basal cell carcinoma morpheiform,Medium,1,0,1,0.0,1.0
