true_class_id,true_disease,predicted_class_id,predicted_disease,error_count
8,class_8,98,class_98,10
98,class_98,8,class_8,7
90,class_90,89,class_89,6
75,class_75,6,class_6,6
86,class_86,48,class_48,5
1,class_1,2,class_2,5
56,class_56,103,class_103,5
75,class_75,32,class_32,5
105,class_105,17,class_17,4
51,class_51,17,class_17,4
91,class_91,51,class_51,4
56,class_56,8,class_8,4
69,class_69,103,class_103,4
22,class_22,32,class_32,4
6,class_6,22,class_22,4
19,class_19,86,class_86,4
70,class_70,32,class_32,4
98,class_98,22,class_22,4
98,class_98,32,class_32,4
86,class_86,17,class_17,4
37,class_37,41,class_41,3
86,class_86,28,class_28,3
86,class_86,22,class_22,3
86,class_86,45,class_45,3
86,class_86,6,class_6,3
84,class_84,91,class_91,3
83,class_83,86,class_86,3
41,class_41,32,class_32,3
2,class_2,1,class_1,3
2,class_2,32,class_32,3
44,class_44,32,class_32,3
5,class_5,98,class_98,3
6,class_6,86,class_86,3
98,class_98,33,class_33,3
98,class_98,86,class_86,3
96,class_96,103,class_103,3
14,class_14,110,class_110,3
13,class_13,74,class_74,3
22,class_22,86,class_86,3
26,class_26,28,class_28,3
28,class_28,68,class_68,3
9,class_9,98,class_98,3
86,class_86,95,class_95,3
29,class_29,6,class_6,3
8,class_8,97,class_97,3
8,class_8,88,class_88,3
8,class_8,56,class_56,3
8,class_8,51,class_51,3
5,class_5,22,class_22,3
8,class_8,5,class_5,3
6,class_6,99,class_99,3
86,class_86,51,class_51,3
101,class_101,109,class_109,3
56,class_56,86,class_86,3
72,class_72,86,class_86,3
60,class_60,91,class_91,3
109,class_109,93,class_93,3
56,class_56,93,class_93,3
75,class_75,53,class_53,3
75,class_75,22,class_22,3
111,class_111,80,class_80,3
56,class_56,98,class_98,3
48,class_48,85,class_85,3
55,class_55,103,class_103,3
92,class_92,6,class_6,2
91,class_91,68,class_68,2
92,class_92,64,class_64,2
92,class_92,68,class_68,2
92,class_92,73,class_73,2
93,class_93,29,class_29,2
92,class_92,32,class_32,2
28,class_28,44,class_44,2
28,class_28,75,class_75,2
28,class_28,86,class_86,2
66,class_66,98,class_98,2
28,class_28,100,class_100,2
55,class_55,16,class_16,2
55,class_55,8,class_8,2
91,class_91,47,class_47,2
68,class_68,6,class_6,2
68,class_68,28,class_28,2
91,class_91,32,class_32,2
91,class_91,28,class_28,2
54,class_54,32,class_32,2
93,class_93,6,class_6,2
15,class_15,92,class_92,2
15,class_15,80,class_80,2
62,class_62,1,class_1,2
60,class_60,15,class_15,2
98,class_98,11,class_11,2
63,class_63,32,class_32,2
63,class_63,91,class_91,2
17,class_17,92,class_92,2
18,class_18,85,class_85,2
64,class_64,51,class_51,2
58,class_58,53,class_53,2
19,class_19,100,class_100,2
93,class_93,41,class_41,2
20,class_20,94,class_94,2
21,class_21,22,class_22,2
93,class_93,86,class_86,2
93,class_93,75,class_75,2
57,class_57,53,class_53,2
93,class_93,73,class_73,2
22,class_22,60,class_60,2
93,class_93,53,class_53,2
22,class_22,71,class_71,2
93,class_93,48,class_48,2
91,class_91,6,class_6,2
22,class_22,99,class_99,2
66,class_66,1,class_1,2
51,class_51,52,class_52,2
74,class_74,1,class_1,2
39,class_39,0,class_0,2
39,class_39,80,class_80,2
40,class_40,13,class_13,2
74,class_74,90,class_90,2
75,class_75,19,class_19,2
75,class_75,68,class_68,2
41,class_41,53,class_53,2
83,class_83,51,class_51,2
42,class_42,28,class_28,2
82,class_82,86,class_86,2
31,class_31,86,class_86,2
81,class_81,5,class_5,2
48,class_48,86,class_86,2
75,class_75,93,class_93,2
44,class_44,75,class_75,2
46,class_46,8,class_8,2
79,class_79,64,class_64,2
48,class_48,28,class_28,2
76,class_76,55,class_55,2
48,class_48,47,class_47,2
48,class_48,51,class_51,2
48,class_48,75,class_75,2
75,class_75,95,class_95,2
81,class_81,8,class_8,2
91,class_91,1,class_1,2
68,class_68,60,class_60,2
68,class_68,84,class_84,2
68,class_68,91,class_91,2
88,class_88,98,class_98,2
32,class_32,68,class_68,2
88,class_88,35,class_35,2
88,class_88,25,class_25,2
87,class_87,60,class_60,2
87,class_87,6,class_6,2
68,class_68,98,class_98,2
52,class_52,51,class_51,2
51,class_51,53,class_53,2
34,class_34,64,class_64,2
34,class_34,82,class_82,2
34,class_34,91,class_91,2
34,class_34,95,class_95,2
86,class_86,68,class_68,2
70,class_70,7,class_7,2
52,class_52,8,class_8,2
51,class_51,91,class_91,2
51,class_51,90,class_90,2
86,class_86,39,class_39,2
37,class_37,2,class_2,2
51,class_51,75,class_75,2
86,class_86,85,class_85,2
98,class_98,88,class_88,2
8,class_8,91,class_91,2
2,class_2,22,class_22,2
6,class_6,8,class_8,2
105,class_105,86,class_86,2
6,class_6,74,class_74,2
111,class_111,32,class_32,2
6,class_6,91,class_91,2
1,class_1,51,class_51,2
110,class_110,109,class_109,2
15,class_15,2,class_2,2
3,class_3,28,class_28,2
103,class_103,56,class_56,2
8,class_8,6,class_6,2
110,class_110,45,class_45,2
8,class_8,9,class_9,2
8,class_8,32,class_32,2
110,class_110,28,class_28,2
1,class_1,6,class_6,2
6,class_6,19,class_19,2
6,class_6,13,class_13,2
98,class_98,56,class_56,2
109,class_109,79,class_79,2
4,class_4,14,class_14,2
1,class_1,100,class_100,2
112,class_112,111,class_111,2
6,class_6,17,class_17,2
113,class_113,15,class_15,2
10,class_10,94,class_94,2
1,class_1,92,class_92,2
3,class_3,2,class_2,1
3,class_3,1,class_1,1
2,class_2,111,class_111,1
75,class_75,100,class_100,1
2,class_2,107,class_107,1
75,class_75,113,class_113,1
76,class_76,15,class_15,1
76,class_76,50,class_50,1
73,class_73,32,class_32,1
2,class_2,106,class_106,1
2,class_2,105,class_105,1
76,class_76,93,class_93,1
2,class_2,84,class_84,1
76,class_76,90,class_90,1
75,class_75,90,class_90,1
3,class_3,52,class_52,1
75,class_75,23,class_23,1
75,class_75,29,class_29,1
75,class_75,8,class_8,1
3,class_3,66,class_66,1
4,class_4,6,class_6,1
74,class_74,33,class_33,1
