true_class_id,true_disease,predicted_class_id,predicted_disease,error_count
8,basal cell carcinoma,98,squamous cell carcinoma,10
98,squamous cell carcinoma,8,basal cell carcinoma,7
90,rosacea,89,rhinophyma,6
75,photodermatoses,6,allergic contact dermatitis,6
86,psoriasis,48,lichen planus,5
1,acne,2,acne vulgaris,5
56,melanoma,103,superficial spreading melanoma ssm,5
75,photodermatoses,32,folliculitis,5
56,melanoma,8,basal cell carcinoma,4
91,sarcoidosis,51,lupus erythematosus,4
98,squamous cell carcinoma,32,folliculitis,4
98,squamous cell carcinoma,22,eczema,4
70,nevus sebaceous of jadassohn,32,folliculitis,4
19,drug eruption,86,psoriasis,4
6,allergic contact dermatitis,22,eczema,4
22,eczema,32,folliculitis,4
51,lupus erythematosus,17,dermatomyositis,4
105,telangiectases,17,dermatomyositis,4
69,nevocytic nevus,103,superficial spreading melanoma ssm,4
86,psoriasis,17,dermatomyositis,4
26,erythema annulare centrifigum,28,erythema multiforme,3
28,erythema multiforme,68,neutrophilic dermatoses,3
9,basal cell carcinoma morpheiform,98,squamous cell carcinoma,3
86,psoriasis,95,seborrheic dermatitis,3
55,malignant melanoma,103,superficial spreading melanoma ssm,3
48,lichen planus,85,prurigo nodularis,3
13,cheilitis,74,perioral dermatitis,3
56,melanoma,98,squamous cell carcinoma,3
111,vitiligo,80,pityriasis rubra pilaris,3
75,photodermatoses,22,eczema,3
75,photodermatoses,53,lyme disease,3
56,melanoma,93,scleroderma,3
109,urticaria,93,scleroderma,3
60,mycosis fungoides,91,sarcoidosis,3
56,melanoma,86,psoriasis,3
22,eczema,86,psoriasis,3
37,halo nevus,41,juvenile xanthogranuloma,3
86,psoriasis,28,erythema multiforme,3
86,psoriasis,22,eczema,3
86,psoriasis,45,langerhans cell histiocytosis,3
86,psoriasis,6,allergic contact dermatitis,3
84,port wine stain,91,sarcoidosis,3
83,porphyria,86,psoriasis,3
72,paronychia,86,psoriasis,3
2,acne vulgaris,1,acne,3
2,acne vulgaris,32,folliculitis,3
44,keratosis pilaris,32,folliculitis,3
