skin_tone_group,true_class_id,true_disease,predicted_class_id,predicted_disease,error_count
Dark,111,class_111,80,class_80,3
Dark,48,class_48,51,class_51,2
Dark,56,class_56,86,class_86,2
Dark,75,class_75,6,class_6,2
Dark,86,class_86,17,class_17,2
Dark,86,class_86,48,class_48,2
Dark,91,class_91,47,class_47,2
Dark,98,class_98,32,class_32,2
Dark,0,class_0,14,class_14,1
Dark,0,class_0,31,class_31,1
Dark,0,class_0,71,class_71,1
Dark,1,class_1,51,class_51,1
Dark,2,class_2,3,class_3,1
Dark,2,class_2,48,class_48,1
Dark,2,class_2,68,class_68,1
Dark,2,class_2,84,class_84,1
Dark,4,class_4,64,class_64,1
Dark,6,class_6,51,class_51,1
Dark,8,class_8,51,class_51,1
Dark,8,class_8,56,class_56,1
Dark,8,class_8,85,class_85,1
Dark,11,class_11,35,class_35,1
Dark,12,class_12,93,class_93,1
Dark,15,class_15,2,class_2,1
Dark,15,class_15,54,class_54,1
Dark,15,class_15,80,class_80,1
Dark,15,class_15,92,class_92,1
Dark,15,class_15,95,class_95,1
Dark,15,class_15,113,class_113,1
Dark,17,class_17,80,class_80,1
Dark,17,class_17,90,class_90,1
Dark,19,class_19,32,class_32,1
Dark,19,class_19,64,class_64,1
Dark,19,class_19,92,class_92,1
Dark,20,class_20,93,class_93,1
Dark,21,class_21,80,class_80,1
Dark,22,class_22,60,class_60,1
Dark,22,class_22,71,class_71,1
Dark,22,class_22,99,class_99,1
Dark,24,class_24,16,class_16,1
Dark,25,class_25,68,class_68,1
Dark,25,class_25,113,class_113,1
Dark,27,class_27,8,class_8,1
Dark,27,class_27,80,class_80,1
Dark,28,class_28,68,class_68,1
Dark,28,class_28,75,class_75,1
Dark,28,class_28,79,class_79,1
Dark,31,class_31,2,class_2,1
Dark,31,class_31,11,class_11,1
Dark,31,class_31,86,class_86,1
Dark,32,class_32,80,class_80,1
Dark,34,class_34,91,class_91,1
Dark,34,class_34,95,class_95,1
Dark,34,class_34,113,class_113,1
Dark,38,class_38,86,class_86,1
Dark,38,class_38,92,class_92,1
Dark,39,class_39,80,class_80,1
Dark,39,class_39,86,class_86,1
Dark,41,class_41,35,class_35,1
Dark,41,class_41,93,class_93,1
Dark,42,class_42,6,class_6,1
Dark,42,class_42,17,class_17,1
Dark,42,class_42,48,class_48,1
Dark,43,class_43,111,class_111,1
Dark,45,class_45,91,class_91,1
Dark,48,class_48,29,class_29,1
Dark,48,class_48,79,class_79,1
Dark,48,class_48,86,class_86,1
Dark,48,class_48,99,class_99,1
Dark,49,class_49,15,class_15,1
Dark,49,class_49,100,class_100,1
Dark,51,class_51,56,class_56,1
Dark,51,class_51,59,class_59,1
Dark,51,class_51,66,class_66,1
Dark,51,class_51,75,class_75,1
Dark,52,class_52,48,class_48,1
Dark,54,class_54,23,class_23,1
Dark,56,class_56,32,class_32,1
Dark,58,class_58,76,class_76,1
Dark,59,class_59,38,class_38,1
Dark,59,class_59,48,class_48,1
Dark,60,class_60,2,class_2,1
Dark,60,class_60,15,class_15,1
Dark,60,class_60,53,class_53,1
Dark,61,class_61,68,class_68,1
Dark,64,class_64,23,class_23,1
Dark,66,class_66,96,class_96,1
Dark,66,class_66,104,class_104,1
Dark,68,class_68,63,class_63,1
Dark,68,class_68,88,class_88,1
Dark,68,class_68,93,class_93,1
Dark,70,class_70,47,class_47,1
Dark,75,class_75,113,class_113,1
Dark,79,class_79,86,class_86,1
Dark,79,class_79,96,class_96,1
Dark,80,class_80,113,class_113,1
Dark,83,class_83,48,class_48,1
Dark,83,class_83,63,class_63,1
Dark,84,class_84,91,class_91,1
Dark,85,class_85,3,class_3,1
Dark,85,class_85,48,class_48,1
Dark,85,class_85,64,class_64,1
Dark,86,class_86,6,class_6,1
Dark,86,class_86,49,class_49,1
Dark,87,class_87,85,class_85,1
Dark,91,class_91,23,class_23,1
Dark,91,class_91,43,class_43,1
Dark,91,class_91,51,class_51,1
Dark,91,class_91,68,class_68,1
Dark,92,class_92,32,class_32,1
Dark,92,class_92,68,class_68,1
Dark,92,class_92,75,class_75,1
Dark,93,class_93,113,class_113,1
Dark,94,class_94,39,class_39,1
Dark,95,class_95,86,class_86,1
Dark,96,class_96,103,class_103,1
Dark,96,class_96,113,class_113,1
Dark,98,class_98,8,class_8,1
Dark,98,class_98,22,class_22,1
Dark,98,class_98,73,class_73,1
Dark,99,class_99,42,class_42,1
Dark,100,class_100,40,class_40,1
Dark,101,class_101,109,class_109,1
Dark,102,class_102,60,class_60,1
Dark,104,class_104,15,class_15,1
Dark,106,class_106,96,class_96,1
Dark,107,class_107,3,class_3,1
Dark,110,class_110,23,class_23,1
Dark,111,class_111,32,class_32,1
Dark,112,class_112,111,class_111,1
Dark,113,class_113,100,class_100,1
Light,8,class_8,98,class_98,6
Light,90,class_90,89,class_89,5
Light,98,class_98,8,class_8,5
Light,1,class_1,2,class_2,4
Light,56,class_56,103,class_103,4
Light,2,class_2,1,class_1,3
Light,6,class_6,86,class_86,3
Light,6,class_6,99,class_99,3
Light,8,class_8,88,class_88,3
Light,9,class_9,98,class_98,3
Light,14,class_14,110,class_110,3
Light,19,class_19,86,class_86,3
Light,22,class_22,32,class_32,3
Light,56,class_56,93,class_93,3
Light,60,class_60,91,class_91,3
Light,69,class_69,103,class_103,3
Light,75,class_75,6,class_6,3
Light,75,class_75,32,class_32,3
Light,86,class_86,45,class_45,3
Light,98,class_98,22,class_22,3
Light,105,class_105,17,class_17,3
Light,1,class_1,6,class_6,2
Light,1,class_1,92,class_92,2
Light,1,class_1,100,class_100,2
Light,2,class_2,22,class_22,2
Light,2,class_2,32,class_32,2
Light,3,class_3,28,class_28,2
Light,5,class_5,22,class_22,2
Light,6,class_6,8,class_8,2
Light,6,class_6,17,class_17,2
Light,6,class_6,74,class_74,2
Light,6,class_6,91,class_91,2
Light,8,class_8,5,class_5,2
Light,8,class_8,6,class_6,2
Light,8,class_8,32,class_32,2
Light,8,class_8,97,class_97,2
Light,13,class_13,74,class_74,2
Light,17,class_17,92,class_92,2
Light,18,class_18,85,class_85,2
Light,19,class_19,100,class_100,2
Light,21,class_21,22,class_22,2
Light,28,class_28,68,class_68,2
Light,28,class_28,100,class_100,2
Light,29,class_29,6,class_6,2
Light,32,class_32,68,class_68,2
Light,34,class_34,82,class_82,2
Light,37,class_37,41,class_41,2
Light,39,class_39,0,class_0,2
Light,41,class_41,32,class_32,2
Light,42,class_42,28,class_28,2
Light,44,class_44,32,class_32,2
Light,48,class_48,28,class_28,2
Light,51,class_51,17,class_17,2
Light,51,class_51,52,class_52,2
Light,51,class_51,53,class_53,2
Light,51,class_51,90,class_90,2
Light,55,class_55,16,class_16,2
Light,55,class_55,103,class_103,2
Light,56,class_56,98,class_98,2
Light,57,class_57,53,class_53,2
Light,58,class_58,53,class_53,2
Light,63,class_63,91,class_91,2
