skin_tone_group,true_class_id,true_disease,predicted_class_id,predicted_disease,error_count
Dark,111,vitiligo,80,pityriasis rubra pilaris,3
Dark,48,lichen planus,51,lupus erythematosus,2
Dark,56,melanoma,86,psoriasis,2
Dark,75,photodermatoses,6,allergic contact dermatitis,2
Dark,86,psoriasis,17,dermatomyositis,2
Dark,86,psoriasis,48,lichen planus,2
Dark,91,sarcoidosis,47,lichen amyloidosis,2
Dark,98,squamous cell carcinoma,32,folliculitis,2
Dark,0,acanthosis nigricans,14,congenital nevus,1
Dark,0,acanthosis nigricans,31,fixed eruptions,1
Dark,0,acanthosis nigricans,71,papilomatosis confluentes and reticulate,1
Dark,1,acne,51,lupus erythematosus,1
Dark,2,acne vulgaris,3,acquired autoimmune bullous diseaseherpes gestationis,1
Dark,2,acne vulgaris,48,lichen planus,1
Dark,2,acne vulgaris,68,neutrophilic dermatoses,1
Dark,2,acne vulgaris,84,port wine stain,1
Dark,4,acrodermatitis enteropathica,64,nematode infection,1
Dark,6,allergic contact dermatitis,51,lupus erythematosus,1
Dark,8,basal cell carcinoma,51,lupus erythematosus,1
Dark,8,basal cell carcinoma,56,melanoma,1
Dark,8,basal cell carcinoma,85,prurigo nodularis,1
Dark,11,behcets disease,35,granuloma pyogenic,1
Dark,12,calcinosis cutis,93,scleroderma,1
Dark,15,dariers disease,2,acne vulgaris,1
Dark,15,dariers disease,54,lymphangioma,1
Dark,15,dariers disease,80,pityriasis rubra pilaris,1
Dark,15,dariers disease,92,scabies,1
Dark,15,dariers disease,95,seborrheic dermatitis,1
Dark,15,dariers disease,113,xeroderma pigmentosum,1
Dark,17,dermatomyositis,80,pityriasis rubra pilaris,1
Dark,17,dermatomyositis,90,rosacea,1
Dark,19,drug eruption,32,folliculitis,1
Dark,19,drug eruption,64,nematode infection,1
Dark,19,drug eruption,92,scabies,1
Dark,20,drug induced pigmentary changes,93,scleroderma,1
Dark,21,dyshidrotic eczema,80,pityriasis rubra pilaris,1
Dark,22,eczema,60,mycosis fungoides,1
Dark,22,eczema,71,papilomatosis confluentes and reticulate,1
Dark,22,eczema,99,stasis edema,1
Dark,24,epidermal nevus,16,dermatofibroma,1
Dark,25,epidermolysis bullosa,68,neutrophilic dermatoses,1
Dark,25,epidermolysis bullosa,113,xeroderma pigmentosum,1
Dark,27,erythema elevatum diutinum,8,basal cell carcinoma,1
Dark,27,erythema elevatum diutinum,80,pityriasis rubra pilaris,1
Dark,28,erythema multiforme,68,neutrophilic dermatoses,1
Dark,28,erythema multiforme,75,photodermatoses,1
Dark,28,erythema multiforme,79,pityriasis rosea,1
Dark,31,fixed eruptions,2,acne vulgaris,1
Dark,31,fixed eruptions,11,behcets disease,1
Dark,31,fixed eruptions,86,psoriasis,1
Dark,32,folliculitis,80,pityriasis rubra pilaris,1
Dark,34,granuloma annulare,91,sarcoidosis,1
Dark,34,granuloma annulare,95,seborrheic dermatitis,1
Dark,34,granuloma annulare,113,xeroderma pigmentosum,1
Dark,38,hidradenitis,86,psoriasis,1
Dark,38,hidradenitis,92,scabies,1
Dark,39,ichthyosis vulgaris,80,pityriasis rubra pilaris,1
Dark,39,ichthyosis vulgaris,86,psoriasis,1
Dark,41,juvenile xanthogranuloma,35,granuloma pyogenic,1
Dark,41,juvenile xanthogranuloma,93,scleroderma,1
Dark,42,kaposi sarcoma,6,allergic contact dermatitis,1
Dark,42,kaposi sarcoma,17,dermatomyositis,1
Dark,42,kaposi sarcoma,48,lichen planus,1
Dark,43,keloid,111,vitiligo,1
Dark,45,langerhans cell histiocytosis,91,sarcoidosis,1
Dark,48,lichen planus,29,erythema nodosum,1
Dark,48,lichen planus,79,pityriasis rosea,1
Dark,48,lichen planus,86,psoriasis,1
Dark,48,lichen planus,99,stasis edema,1
Dark,49,lichen simplex,15,dariers disease,1
Dark,49,lichen simplex,100,stevens johnson syndrome,1
Dark,51,lupus erythematosus,56,melanoma,1
Dark,51,lupus erythematosus,59,mucous cyst,1
Dark,51,lupus erythematosus,66,neurofibromatosis,1
Dark,51,lupus erythematosus,75,photodermatoses,1
Dark,52,lupus subacute,48,lichen planus,1
Dark,54,lymphangioma,23,ehlers danlos syndrome,1
Dark,56,melanoma,32,folliculitis,1
Dark,58,mucinosis,76,pilar cyst,1
Dark,59,mucous cyst,38,hidradenitis,1
Dark,59,mucous cyst,48,lichen planus,1
Dark,60,mycosis fungoides,2,acne vulgaris,1
Dark,60,mycosis fungoides,15,dariers disease,1
Dark,60,mycosis fungoides,53,lyme disease,1
Dark,61,myiasis,68,neutrophilic dermatoses,1
Dark,64,nematode infection,23,ehlers danlos syndrome,1
Dark,66,neurofibromatosis,96,seborrheic keratosis,1
Dark,66,neurofibromatosis,104,syringoma,1
Dark,68,neutrophilic dermatoses,63,necrobiosis lipoidica,1
Dark,68,neutrophilic dermatoses,88,pyogenic granuloma,1
Dark,68,neutrophilic dermatoses,93,scleroderma,1
Dark,70,nevus sebaceous of jadassohn,47,lichen amyloidosis,1
Dark,75,photodermatoses,113,xeroderma pigmentosum,1
Dark,79,pityriasis rosea,86,psoriasis,1
Dark,79,pityriasis rosea,96,seborrheic keratosis,1
Dark,80,pityriasis rubra pilaris,113,xeroderma pigmentosum,1
Dark,83,porphyria,48,lichen planus,1
Dark,83,porphyria,63,necrobiosis lipoidica,1
Dark,84,port wine stain,91,sarcoidosis,1
Dark,85,prurigo nodularis,3,acquired autoimmune bullous diseaseherpes gestationis,1
Dark,85,prurigo nodularis,48,lichen planus,1
Dark,85,prurigo nodularis,64,nematode infection,1
Dark,86,psoriasis,6,allergic contact dermatitis,1
Dark,86,psoriasis,49,lichen simplex,1
Dark,87,pustular psoriasis,85,prurigo nodularis,1
Dark,91,sarcoidosis,23,ehlers danlos syndrome,1
Dark,91,sarcoidosis,43,keloid,1
Dark,91,sarcoidosis,51,lupus erythematosus,1
