label,count,percentage
psoriasis,653,3.939905876674309
squamous cell carcinoma,581,3.5054905273319656
lichen planus,491,2.9624713406540364
basal cell carcinoma,468,2.823699770725232
allergic contact dermatitis,430,2.5944250030167733
lupus erythematosus,410,2.4737540726439002
neutrophilic dermatoses,359,2.1660432001930734
sarcoidosis,349,2.1057077350066367
photodermatoses,348,2.0996741884879935
folliculitis,342,2.0634729093761313
scabies,339,2.0453722698202004
acne vulgaris,335,2.0212380837456254
scleroderma,309,1.8643658742608906
pityriasis rubra pilaris,278,1.677325932182937
melanoma,261,1.5747556413659949
nematode infection,260,1.5687220948473513
erythema multiforme,236,1.4239169783999035
granuloma annulare,211,1.273078315433812
eczema,204,1.2308434898033065
drug eruption,200,1.2067093037287318
pityriasis rosea,193,1.1644744780982261
neurofibromatosis,189,1.1403402920236516
porokeratosis actinic,183,1.1041390129117894
acne,183,1.1041390129117894
mycosis fungoides,182,1.098105466393146
actinic keratosis,175,1.0558706407626401
hailey hailey disease,174,1.0498370942439967
prurigo nodularis,170,1.025702908169422
vitiligo,166,1.0015687220948473
keloid,156,0.9412332569084106
kaposi sarcoma,156,0.9412332569084106
dariers disease,153,0.9231326173524799
tungiasis,152,0.917099070833836
dermatomyositis,151,0.9110655243151924
urticaria,151,0.9110655243151924
pediculosis lids,151,0.9110655243151924
papilomatosis confluentes and reticulate,150,0.9050319777965489
juvenile xanthogranuloma,149,0.8989984312779052
tuberous sclerosis,141,0.850730059128756
lyme disease,129,0.778327500905032
ehlers danlos syndrome,127,0.7662604078677446
porphyria,127,0.7662604078677446
syringoma,127,0.7662604078677446
seborrheic dermatitis,126,0.760226861349101
telangiectases,126,0.760226861349101
fixed eruptions,125,0.7541933148304574
necrobiosis lipoidica,123,0.74212622179317
superficial spreading melanoma ssm,118,0.7119584891999517
pyogenic granuloma,113,0.6817907566067334
stevens johnson syndrome,113,0.6817907566067334
milia,112,0.6757572100880899
urticaria pigmentosa,112,0.6757572100880899
malignant melanoma,111,0.6697236635694461
lupus subacute,111,0.6697236635694461
scleromyxedema,108,0.6516230240135151
cheilitis,106,0.6395559309762279
rosacea,102,0.6154217449016532
incontinentia pigmenti,102,0.6154217449016532
fordyce spots,100,0.6033546518643659
lymphangioma,100,0.6033546518643659
lichen simplex,97,0.5852540123084349
nevus sebaceous of jadassohn,95,0.5731869192711476
pilar cyst,93,0.5611198262338603
acrodermatitis enteropathica,92,0.5550862797152165
mucinosis,92,0.5550862797152165
acanthosis nigricans,92,0.5550862797152165
rhinophyma,91,0.549052733196573
epidermal nevus,91,0.549052733196573
hidradenitis,90,0.5430191866779293
erythema annulare centrifigum,88,0.5309520936406419
nevocytic nevus,86,0.5188850006033546
lentigo maligna,83,0.5007843610474236
dyshidrotic eczema,83,0.5007843610474236
halo nevus,82,0.49475081452878
erythema nodosum,81,0.4887172680101364
xeroderma pigmentosum,81,0.4887172680101364
calcinosis cutis,79,0.47665017497284906
mucous cyst,79,0.47665017497284906
dermatofibroma,79,0.47665017497284906
keratosis pilaris,78,0.4706166284542053
porokeratosis of mibelli,78,0.4706166284542053
lichen amyloidosis,77,0.46458308193556175
granuloma pyogenic,75,0.45251598889827443
neurotic excoriations,73,0.4404488958609871
naevus comedonicus,73,0.4404488958609871
tick bite,73,0.4404488958609871
pityriasis lichenoides chronica,73,0.4404488958609871
aplasia cutis,72,0.4344153493423434
drug induced pigmentary changes,71,0.42838180282369975
epidermolysis bullosa,70,0.42234825630505607
stasis edema,69,0.41631470978641244
neurodermatitis,69,0.41631470978641244
seborrheic keratosis,69,0.41631470978641244
congenital nevus,68,0.41028116326776876
myiasis,67,0.4042476167491251
striae,67,0.4042476167491251
acquired autoimmune bullous diseaseherpes gestationis,67,0.4042476167491251
sun damaged skin,66,0.39821407023048144
solid cystic basal cell carcinoma,66,0.39821407023048144
factitial dermatitis,66,0.39821407023048144
ichthyosis vulgaris,65,0.3921805237118378
behcets disease,63,0.3801134306745505
becker nevus,63,0.3801134306745505
basal cell carcinoma morpheiform,62,0.37407988415590687
perioral dermatitis,61,0.3680463376372632
livedo reticularis,60,0.36201279111861956
langerhans cell histiocytosis,60,0.36201279111861956
disseminated actinic porokeratosis,60,0.36201279111861956
port wine stain,59,0.3559792445999759
paronychia,59,0.3559792445999759
erythema elevatum diutinum,55,0.33184505852540125
pustular psoriasis,53,0.31977796548811394
pilomatricoma,53,0.31977796548811394
xanthomas,53,0.31977796548811394
