disease_name,Light,Medium,Dark,Unknown
aplasia cutis,0.375,1.0,,0.0
actinic keratosis,0.3125,0.1428571428571428,1.0,0.0
erythema elevatum diutinum,0.0,1.0,0.0,
lichen amyloidosis,0.3333333333333333,0.0,1.0,
factitial dermatitis,0.0,0.5,1.0,
mucous cyst,0.1666666666666666,0.5,0.0,1.0
pityriasis rubra pilaris,0.0,0.8888888888888888,0.9473684210526316,1.0
telangiectases,0.1818181818181818,0.0,1.0,0.0
pyogenic granuloma,0.0833333333333333,0.2,1.0,
kaposi sarcoma,0.0,0.9,0.4,
milia,0.1,0.6666666666666666,1.0,
pilar cyst,0.1428571428571428,0.6,1.0,
dermatomyositis,0.1666666666666666,0.8571428571428571,0.0,
scleroderma,0.12,0.3846153846153846,0.8571428571428571,0.0
nematode infection,0.7,0.8095238095238095,0.8333333333333334,0.0
langerhans cell histiocytosis,0.8333333333333334,0.5,0.0,
neurofibromatosis,0.0,0.5,0.8181818181818182,
cheilitis,0.25,0.2,1.0,1.0
xeroderma pigmentosum,0.0,0.6,0.8,
myiasis,0.5,0.75,0.0,0.0
granuloma pyogenic,0.5,0.75,,0.0
allergic contact dermatitis,0.282051282051282,0.45,0.75,1.0
seborrheic dermatitis,0.3636363636363636,0.7142857142857143,0.0,
hidradenitis,0.1666666666666666,0.7142857142857143,0.0,
acne vulgaris,0.6666666666666666,0.7142857142857143,0.0,
mycosis fungoides,0.3076923076923077,0.7,0.0,0.0
lichen planus,0.1739130434782608,0.6774193548387096,0.6666666666666666,0.0
basal cell carcinoma,0.3333333333333333,0.4642857142857143,0.4,1.0
naevus comedonicus,0.3333333333333333,0.4,1.0,
halo nevus,0.3333333333333333,0.3333333333333333,1.0,
epidermal nevus,0.4,0.6666666666666666,0.0,
acrodermatitis enteropathica,0.2857142857142857,0.6666666666666666,0.0,
lentigo maligna,0.6666666666666666,0.6666666666666666,,0.0
vitiligo,0.3333333333333333,0.6363636363636364,0.5555555555555556,0.0
juvenile xanthogranuloma,0.4666666666666667,0.6,0.0,
acanthosis nigricans,0.6666666666666666,0.8333333333333334,0.25,
congenital nevus,0.1666666666666666,0.75,,
disseminated actinic porokeratosis,0.4285714285714285,1.0,,
superficial spreading melanoma ssm,0.5714285714285714,0.3333333333333333,,0.0
erythema multiforme,0.4117647058823529,0.5333333333333333,0.0,
granuloma annulare,0.0714285714285714,0.5333333333333333,0.0,
prurigo nodularis,0.5,0.9285714285714286,0.4,
lupus subacute,0.0,0.0,0.5,
tick bite,0.0,0.5,0.0,
urticaria pigmentosa,0.1,0.6,0.5,
stasis edema,0.0,0.0,0.5,0.0
necrobiosis lipoidica,0.5,0.625,1.0,
malignant melanoma,0.1666666666666666,0.5,,0.0
behcets disease,0.3333333333333333,0.5,0.0,
lupus erythematosus,0.217391304347826,0.5652173913043478,0.7142857142857143,0.5
urticaria,0.2727272727272727,0.75,,
melanoma,0.2105263157894736,0.4615384615384615,0.4,0.0
acne,0.0588235294117647,0.125,0.5,
scabies,0.3125,0.75,0.7272727272727273,0.5
sarcoidosis,0.3076923076923077,0.4375,0.1428571428571428,0.0
scleromyxedema,0.2,0.625,0.5,
squamous cell carcinoma,0.3333333333333333,0.6896551724137931,0.5,0.2857142857142857
hailey hailey disease,0.6,0.8666666666666667,1.0,
photodermatoses,0.1428571428571428,0.4,0.0,
lymphangioma,0.0,0.4,0.0,0.0
becker nevus,0.7142857142857143,0.3333333333333333,,
erythema annulare centrifigum,0.6666666666666666,0.2857142857142857,,
mucinosis,0.1428571428571428,0.5,0.5,
syringoma,0.8571428571428571,0.6666666666666666,0.5,
livedo reticularis,0.4,0.75,,
tungiasis,1.0,1.0,1.0,0.6666666666666666
pediculosis lids,1.0,1.0,,0.6666666666666666
folliculitis,0.6842105263157895,0.8181818181818182,0.8333333333333334,0.5
ehlers danlos syndrome,0.6666666666666666,0.875,1.0,
dyshidrotic eczema,0.0,0.3333333333333333,0.0,
paronychia,0.3333333333333333,0.0,,
tuberous sclerosis,0.3333333333333333,0.5833333333333334,0.6666666666666666,
port wine stain,0.2,0.3333333333333333,0.0,
stevens johnson syndrome,0.3333333333333333,0.25,0.0,
striae,0.1666666666666666,0.3333333333333333,0.0,
pityriasis rosea,0.375,0.6875,0.5,
porphyria,0.1428571428571428,0.3,0.0,
neutrophilic dermatoses,0.4285714285714285,0.7222222222222222,0.5714285714285714,0.5
seborrheic keratosis,0.2857142857142857,0.0,0.0,
perioral dermatitis,0.2857142857142857,0.0,,
porokeratosis of mibelli,0.3333333333333333,0.6,,
calcinosis cutis,0.25,0.5,0.5,
papilomatosis confluentes and reticulate,0.75,0.8461538461538461,1.0,
lichen simplex,0.75,0.5,0.5,
ichthyosis vulgaris,0.0,0.25,0.0,
nevus sebaceous of jadassohn,0.2222222222222222,0.0,0.0,0.0
fordyce spots,0.7142857142857143,0.7142857142857143,,0.5
fixed eruptions,0.1666666666666666,0.375,0.25,
rhinophyma,0.625,0.8333333333333334,,
keloid,0.625,0.75,0.8333333333333334,
nevocytic nevus,0.3,0.5,,
pustular psoriasis,0.2,0.0,0.0,
sun damaged skin,0.2,0.0,0.0,
porokeratosis actinic,0.8,0.8,1.0,
eczema,0.1764705882352941,0.1111111111111111,0.0,
pilomatricoma,0.3333333333333333,0.5,,
drug eruption,0.25,0.4,0.25,
acquired autoimmune bullous diseaseherpes gestationis,0.1428571428571428,0.0,,
solid cystic basal cell carcinoma,0.1428571428571428,0.0,,
psoriasis,0.4423076923076923,0.5172413793103449,0.5384615384615384,0.4
lyme disease,0.5384615384615384,0.6666666666666666,,
basal cell carcinoma morpheiform,0.125,0.0,,
pityriasis lichenoides chronica,0.6666666666666666,0.75,,
erythema nodosum,0.4285714285714285,0.5,,
rosacea,0.1818181818181818,0.25,,
keratosis pilaris,0.1428571428571428,0.2,,
incontinentia pigmenti,0.4444444444444444,0.5,,
neurotic excoriations,0.2,0.1666666666666666,,
dermatofibroma,0.4285714285714285,0.4,,
dariers disease,0.0,0.0,0.0,
epidermolysis bullosa,0.0,0.0,0.0,
drug induced pigmentary changes,0.0,0.0,0.0,
neurodermatitis,0.0,0.0,,0.0
xanthomas,0.0,0.0,0.0,
