disease,best_group,best_accuracy,worst_group,worst_accuracy,accuracy_gap,accuracy_gap_pp,groups_available,total_support,robust_disparity
aplasia cutis,Medium,1.0,Unknown,0.0,1.0,100.0,3,10,False
actinic keratosis,Dark,1.0,Unknown,0.0,1.0,100.0,4,26,True
erythema elevatum diutinum,Medium,1.0,Light,0.0,1.0,100.0,3,8,False
lichen amyloidosis,Dark,1.0,Medium,0.0,1.0,100.0,3,11,False
factitial dermatitis,Dark,1.0,Light,0.0,1.0,100.0,3,9,False
mucous cyst,Unknown,1.0,Dark,0.0,1.0,100.0,4,13,False
pityriasis rubra pilaris,Unknown,1.0,Light,0.0,1.0,100.0,4,41,True
telangiectases,Dark,1.0,Medium,0.0,1.0,100.0,4,18,False
pyogenic granuloma,Dark,1.0,Light,0.0833333333333333,0.9166666666666667,91.66666666666667,3,18,False
kaposi sarcoma,Medium,0.9,Light,0.0,0.9,90.0,3,21,True
milia,Dark,1.0,Light,0.1,0.9,90.0,3,17,False
pilar cyst,Dark,1.0,Light,0.1428571428571428,0.8571428571428572,85.71428571428572,3,14,False
dermatomyositis,Medium,0.8571428571428571,Dark,0.0,0.8571428571428571,85.71428571428571,3,21,True
scleroderma,Dark,0.8571428571428571,Unknown,0.0,0.8571428571428571,85.71428571428571,4,47,True
nematode infection,Dark,0.8333333333333334,Unknown,0.0,0.8333333333333334,83.33333333333334,4,38,True
langerhans cell histiocytosis,Light,0.8333333333333334,Dark,0.0,0.8333333333333334,83.33333333333334,3,9,False
neurofibromatosis,Dark,0.8181818181818182,Light,0.0,0.8181818181818182,81.81818181818183,3,27,True
cheilitis,Dark,1.0,Medium,0.2,0.8,80.0,4,15,False
xeroderma pigmentosum,Dark,0.8,Light,0.0,0.8,80.0,3,11,False
myiasis,Medium,0.75,Dark,0.0,0.75,75.0,4,9,False
granuloma pyogenic,Medium,0.75,Unknown,0.0,0.75,75.0,3,11,False
