disease,class_id,support,accuracy,f1
acanthosis nigricans,0,13,0.46153846153846156,0.42857142857142855
acne,1,27,0.07407407407407407,0.0851063829787234
acne vulgaris,2,51,0.5882352941176471,0.5405405405405406
acquired autoimmune bullous diseaseherpes gestationis,3,10,0.1,0.125
acrodermatitis enteropathica,4,14,0.35714285714285715,0.45454545454545453
actinic keratosis,5,26,0.34615384615384615,0.32142857142857145
allergic contact dermatitis,6,64,0.296875,0.3917525773195876
aplasia cutis,7,10,0.4,0.4
basal cell carcinoma,8,70,0.42857142857142855,0.44776119402985076
basal cell carcinoma morpheiform,9,9,0.2222222222222222,0.18181818181818182
becker nevus,10,10,0.4,0.5
behcets disease,11,8,0.375,0.4
calcinosis cutis,12,12,0.4166666666666667,0.43478260869565216
cheilitis,13,15,0.26666666666666666,0.25
congenital nevus,14,10,0.3,0.3
dariers disease,15,22,0.09090909090909091,0.12121212121212122
dermatofibroma,16,12,0.4166666666666667,0.3448275862068966
dermatomyositis,17,21,0.3333333333333333,0.30434782608695654
disseminated actinic porokeratosis,18,9,0.5555555555555556,0.5263157894736842
drug eruption,19,30,0.2,0.17647058823529413
drug induced pigmentary changes,20,10,0.0,0.0
dyshidrotic eczema,21,11,0.18181818181818182,0.18181818181818182
eczema,22,29,0.13793103448275862,0.11428571428571428
ehlers danlos syndrome,23,20,0.85,0.7083333333333334
epidermal nevus,24,14,0.2857142857142857,0.36363636363636365
epidermolysis bullosa,25,10,0.0,0.0
erythema annulare centrifigum,26,13,0.5384615384615384,0.6363636363636364
erythema elevatum diutinum,27,8,0.5,0.5714285714285714
erythema multiforme,28,35,0.4,0.417910447761194
erythema nodosum,29,11,0.6363636363636364,0.45161290322580644
factitial dermatitis,30,9,0.4444444444444444,0.5
fixed eruptions,31,18,0.2777777777777778,0.2631578947368421
folliculitis,32,51,0.5686274509803921,0.6590909090909091
fordyce spots,33,16,0.75,0.2926829268292683
granuloma annulare,34,32,0.40625,0.4262295081967213
granuloma pyogenic,35,11,0.5454545454545454,0.5714285714285714
hailey hailey disease,36,27,0.7777777777777778,0.8076923076923077
halo nevus,37,11,0.36363636363636365,0.38095238095238093
hidradenitis,38,15,0.4,0.42857142857142855
ichthyosis vulgaris,39,9,0.1111111111111111,0.08695652173913043
incontinentia pigmenti,40,15,0.4,0.3076923076923077
juvenile xanthogranuloma,41,22,0.45454545454545453,0.4
kaposi sarcoma,42,21,0.5238095238095238,0.55
keloid,43,22,0.6363636363636364,0.5714285714285714
keratosis pilaris,44,12,0.4166666666666667,0.38461538461538464
langerhans cell histiocytosis,45,9,0.5555555555555556,0.3448275862068966
lentigo maligna,46,13,0.46153846153846156,0.48
lichen amyloidosis,47,11,0.5454545454545454,0.5217391304347826
lichen planus,48,74,0.44594594594594594,0.48175182481751827
