model,skin_tone_group,accuracy
Baseline,Light,0.32472006890611543
Baseline,Medium,0.5683060109289617
Baseline,Dark,0.5527156549520766
Baseline,Unknown,0.3384615384615385
M1,Light,0.32041343669250644
M1,Medium,0.5606557377049181
M1,Dark,0.5527156549520766
M1,Unknown,0.35384615384615387
M2,Light,0.31093884582256676
M2,Medium,0.5748633879781421
M2,Dark,0.5399361022364217
M2,Unknown,0.36923076923076925
M1 + M2,Light,0.31007751937984496
M1 + M2,Medium,0.5278688524590164
M1 + M2,Dark,0.549520766773163
M1 + M2,Unknown,0.35384615384615387
