label,original_count,synthetic_count,augmented_count,augmentation_ratio
acanthosis nigricans,64,32,96,0.5
acne,128,21,149,0.1640625
acne vulgaris,234,17,251,0.07264957264957266
acquired autoimmune bullous diseaseherpes gestationis,46,1,47,0.021739130434782608
acrodermatitis enteropathica,65,11,76,0.16923076923076924
actinic keratosis,122,20,142,0.16393442622950818
allergic contact dermatitis,301,53,354,0.1760797342192691
aplasia cutis,51,11,62,0.21568627450980393
basal cell carcinoma,329,44,373,0.1337386018237082
basal cell carcinoma morpheiform,43,4,47,0.09302325581395349
becker nevus,43,2,45,0.046511627906976744
behcets disease,44,22,66,0.5
calcinosis cutis,55,11,66,0.2
cheilitis,74,16,90,0.21621621621621623
congenital nevus,49,13,62,0.2653061224489796
dariers disease,107,43,150,0.40186915887850466
dermatofibroma,55,0,55,0.0
dermatomyositis,106,20,126,0.18867924528301888
disseminated actinic porokeratosis,41,1,42,0.024390243902439025
drug eruption,139,40,179,0.28776978417266186
drug induced pigmentary changes,50,14,64,0.28
dyshidrotic eczema,58,16,74,0.27586206896551724
eczema,143,33,176,0.23076923076923078
ehlers danlos syndrome,89,42,131,0.47191011235955055
epidermal nevus,64,12,76,0.1875
epidermolysis bullosa,48,18,66,0.375
erythema annulare centrifigum,62,3,65,0.04838709677419355
erythema elevatum diutinum,38,18,56,0.47368421052631576
erythema multiforme,166,39,205,0.23493975903614459
erythema nodosum,57,3,60,0.05263157894736842
factitial dermatitis,47,25,72,0.5319148936170213
fixed eruptions,87,54,141,0.6206896551724138
folliculitis,239,80,319,0.33472803347280333
fordyce spots,70,25,95,0.35714285714285715
granuloma annulare,148,27,175,0.18243243243243243
granuloma pyogenic,53,10,63,0.18867924528301888
hailey hailey disease,121,23,144,0.19008264462809918
halo nevus,58,20,78,0.3448275862068966
hidradenitis,63,13,76,0.20634920634920634
ichthyosis vulgaris,46,28,74,0.6086956521739131
incontinentia pigmenti,72,6,78,0.08333333333333333
juvenile xanthogranuloma,104,10,114,0.09615384615384616
kaposi sarcoma,110,44,154,0.4
keloid,109,52,161,0.47706422018348627
keratosis pilaris,55,6,61,0.10909090909090909
langerhans cell histiocytosis,43,12,55,0.27906976744186046
lentigo maligna,58,7,65,0.1206896551724138
lichen amyloidosis,54,52,106,0.9629629629629629
lichen planus,343,162,505,0.47230320699708456
lichen simplex,68,38,106,0.5588235294117647
livedo reticularis,42,2,44,0.047619047619047616
lupus erythematosus,287,125,412,0.4355400696864111
lupus subacute,78,20,98,0.2564102564102564
lyme disease,91,12,103,0.13186813186813187
lymphangioma,71,19,90,0.2676056338028169
malignant melanoma,77,12,89,0.15584415584415584
melanoma,183,75,258,0.4098360655737705
milia,78,9,87,0.11538461538461539
mucinosis,65,14,79,0.2153846153846154
mucous cyst,56,25,81,0.44642857142857145
mycosis fungoides,128,33,161,0.2578125
myiasis,47,33,80,0.7021276595744681
naevus comedonicus,52,28,80,0.5384615384615384
necrobiosis lipoidica,86,23,109,0.26744186046511625
nematode infection,182,75,257,0.41208791208791207
neurodermatitis,48,11,59,0.22916666666666666
neurofibromatosis,132,111,243,0.8409090909090909
neurotic excoriations,51,6,57,0.11764705882352941
neutrophilic dermatoses,250,62,312,0.248
nevocytic nevus,61,3,64,0.04918032786885246
nevus sebaceous of jadassohn,66,23,89,0.3484848484848485
papilomatosis confluentes and reticulate,105,42,147,0.4
paronychia,42,3,45,0.07142857142857142
pediculosis lids,106,50,156,0.4716981132075472
perioral dermatitis,43,4,47,0.09302325581395349
photodermatoses,244,33,277,0.13524590163934427
pilar cyst,65,20,85,0.3076923076923077
pilomatricoma,38,5,43,0.13157894736842105
pityriasis lichenoides chronica,52,7,59,0.1346153846153846
pityriasis rosea,135,46,181,0.34074074074074073
pityriasis rubra pilaris,195,152,347,0.7794871794871795
porokeratosis actinic,128,20,148,0.15625
porokeratosis of mibelli,56,6,62,0.10714285714285714
porphyria,89,18,107,0.20224719101123595
port wine stain,42,10,52,0.23809523809523808
prurigo nodularis,118,56,174,0.4745762711864407
psoriasis,456,159,615,0.34868421052631576
pustular psoriasis,37,12,49,0.32432432432432434
pyogenic granuloma,78,9,87,0.11538461538461539
rhinophyma,63,2,65,0.031746031746031744
rosacea,71,3,74,0.04225352112676056
sarcoidosis,244,68,312,0.2786885245901639
scabies,237,110,347,0.4641350210970464
scleroderma,217,82,299,0.3778801843317972
scleromyxedema,75,19,94,0.25333333333333335
seborrheic dermatitis,88,11,99,0.125
seborrheic keratosis,48,8,56,0.16666666666666666
solid cystic basal cell carcinoma,47,9,56,0.19148936170212766
squamous cell carcinoma,406,163,569,0.4014778325123153
stasis edema,49,28,77,0.5714285714285714
stevens johnson syndrome,79,6,85,0.0759493670886076
striae,47,12,59,0.2553191489361702
sun damaged skin,45,14,59,0.3111111111111111
superficial spreading melanoma ssm,83,14,97,0.1686746987951807
syringoma,89,11,100,0.12359550561797752
telangiectases,87,25,112,0.28735632183908044
tick bite,52,12,64,0.23076923076923078
tuberous sclerosis,99,36,135,0.36363636363636365
tungiasis,107,61,168,0.5700934579439252
urticaria,106,5,111,0.04716981132075472
urticaria pigmentosa,79,14,93,0.17721518987341772
vitiligo,116,111,227,0.9568965517241379
xanthomas,37,5,42,0.13513513513513514
xeroderma pigmentosum,57,51,108,0.8947368421052632
