disease,support,raw_weight,class_weight
psoriasis,456,0.4725253856396171,0.4093410997281792
squamous cell carcinoma,406,0.5007772025416384,0.4338151918118003
lichen planus,343,0.5448293644494818,0.4719768672450716
basal cell carcinoma,329,0.5563007142925888,0.48191431209533697
allergic contact dermatitis,301,0.5815998940763732,0.5038305823945448
lupus erythematosus,287,0.5956163600341776,0.5159728201744344
neutrophilic dermatoses,250,0.6381717307235858,0.552837849581824
photodermatoses,244,0.6459704526615908,0.5595937562729663
sarcoidosis,244,0.6459704526615908,0.5595937562729663
folliculitis,239,0.6526924906398042,0.5654169490622634
scabies,237,0.6554406817025741,0.5677976625352013
acne vulgaris,234,0.6596288436886314,0.5714257995312524
scleroderma,217,0.684979697885035,0.5933868345384149
pityriasis rubra pilaris,195,0.7225871945386253,0.6259656006873839
melanoma,183,0.7459024294654277,0.6461632116420618
nematode infection,182,0.7479488048593784,0.6479359535511184
erythema multiforme,166,0.7831654546515336,0.6784435677296663
granuloma annulare,148,0.8294242120114648,0.7185167811172215
eczema,143,0.8438000520194351,0.7309703388248427
drug eruption,139,0.855854949191323,0.7414133012886925
pityriasis rosea,135,0.868441726967562,0.7523170233183264
neurofibromatosis,132,0.8782549393183061,0.760818050474957
mycosis fungoides,128,0.891872107010393,0.7726143826248514
porokeratosis actinic,128,0.891872107010393,0.7726143826248514
acne,128,0.891872107010393,0.7726143826248514
actinic keratosis,122,0.9135401750463091,0.7913850795405332
hailey hailey disease,121,0.9173073670082663,0.7946485370127859
prurigo nodularis,118,0.928894866766847,0.8046866006564077
vitiligo,116,0.9368683595089556,0.8115939084686883
kaposi sarcoma,110,0.9620800830099342,0.8334344168044759
keloid,109,0.9664832185222754,0.8372487818897173
dariers disease,107,0.9754739536930226,0.845037310366715
tungiasis,107,0.9754739536930226,0.845037310366715
pediculosis lids,106,0.9800644447124248,0.8490139784977423
dermatomyositis,106,0.9800644447124248,0.8490139784977423
urticaria,106,0.9800644447124248,0.8490139784977423
papilomatosis confluentes and reticulate,105,0.9847203590175533,0.8530473217631451
juvenile xanthogranuloma,104,0.989443265532947,0.8571386992968786
tuberous sclerosis,99,1.014121451265085,0.8785170124920854
lyme disease,91,1.0577593437928805,0.9163198130611354
ehlers danlos syndrome,89,1.069578250777276,0.9265583410420793
syringoma,89,1.069578250777276,0.9265583410420793
porphyria,89,1.069578250777276,0.9265583410420793
seborrheic dermatitis,88,1.0756382327044267,0.9318080053813507
telangiectases,87,1.0818023991154773,0.9371479230541154
fixed eruptions,87,1.0818023991154773,0.9371479230541154
necrobiosis lipoidica,86,1.0880737699089018,0.9425807101495827
superficial spreading melanoma ssm,83,1.10756320755029,0.9594640947880835
