disease,class_id,support,accuracy,f1
acanthosis nigricans,0,13,0.46153846153846156,0.46153846153846156
acne,1,27,0.14814814814814814,0.1568627450980392
acne vulgaris,2,51,0.5294117647058824,0.5869565217391305
acquired autoimmune bullous diseaseherpes gestationis,3,10,0.2,0.21052631578947367
acrodermatitis enteropathica,4,14,0.42857142857142855,0.1791044776119403
actinic keratosis,5,26,0.2692307692307692,0.25925925925925924
allergic contact dermatitis,6,64,0.34375,0.41509433962264153
aplasia cutis,7,10,0.5,0.4166666666666667
basal cell carcinoma,8,70,0.4142857142857143,0.47540983606557374
basal cell carcinoma morpheiform,9,9,0.0,0.0
becker nevus,10,10,0.4,0.5
behcets disease,11,8,0.25,0.2857142857142857
calcinosis cutis,12,12,0.5,0.48
cheilitis,13,15,0.3333333333333333,0.3333333333333333
congenital nevus,14,10,0.5,0.5555555555555556
dariers disease,15,22,0.13636363636363635,0.15384615384615385
dermatofibroma,16,12,0.4166666666666667,0.37037037037037035
dermatomyositis,17,21,0.3333333333333333,0.2978723404255319
disseminated actinic porokeratosis,18,9,0.5555555555555556,0.5263157894736842
drug eruption,19,30,0.26666666666666666,0.25806451612903225
drug induced pigmentary changes,20,10,0.0,0.0
dyshidrotic eczema,21,11,0.09090909090909091,0.08
eczema,22,29,0.1724137931034483,0.17543859649122806
ehlers danlos syndrome,23,20,0.85,0.7391304347826086
epidermal nevus,24,14,0.35714285714285715,0.4
epidermolysis bullosa,25,10,0.0,0.0
erythema annulare centrifigum,26,13,0.6153846153846154,0.6153846153846154
erythema elevatum diutinum,27,8,0.625,0.6666666666666666
erythema multiforme,28,35,0.45714285714285713,0.4050632911392405
erythema nodosum,29,11,0.5454545454545454,0.4
factitial dermatitis,30,9,0.4444444444444444,0.5333333333333333
fixed eruptions,31,18,0.2222222222222222,0.25806451612903225
folliculitis,32,51,0.6078431372549019,0.6666666666666666
fordyce spots,33,16,0.625,0.5714285714285714
granuloma annulare,34,32,0.40625,0.4406779661016949
granuloma pyogenic,35,11,0.5454545454545454,0.631578947368421
hailey hailey disease,36,27,0.8518518518518519,0.8363636363636363
halo nevus,37,11,0.36363636363636365,0.36363636363636365
hidradenitis,38,15,0.3333333333333333,0.3333333333333333
ichthyosis vulgaris,39,9,0.1111111111111111,0.125
incontinentia pigmenti,40,15,0.4666666666666667,0.3181818181818182
juvenile xanthogranuloma,41,22,0.5,0.4888888888888889
kaposi sarcoma,42,21,0.5714285714285714,0.6
keloid,43,22,0.5454545454545454,0.5581395348837209
keratosis pilaris,44,12,0.3333333333333333,0.26666666666666666
langerhans cell histiocytosis,45,9,0.6666666666666666,0.36363636363636365
lentigo maligna,46,13,0.6153846153846154,0.5925925925925926
lichen amyloidosis,47,11,0.6363636363636364,0.6086956521739131
lichen planus,48,74,0.40540540540540543,0.46511627906976744
lichen simplex,49,14,0.5714285714285714,0.6666666666666666
livedo reticularis,50,9,0.5555555555555556,0.47619047619047616
lupus erythematosus,51,62,0.46774193548387094,0.4393939393939394
lupus subacute,52,16,0.125,0.09090909090909091
lyme disease,53,19,0.5263157894736842,0.39215686274509803
lymphangioma,54,14,0.21428571428571427,0.23076923076923078
malignant melanoma,55,17,0.17647058823529413,0.17142857142857143
melanoma,56,40,0.2,0.2909090909090909
milia,57,17,0.35294117647058826,0.35294117647058826
mucinosis,58,13,0.23076923076923078,0.24
mucous cyst,59,13,0.3076923076923077,0.2857142857142857
mycosis fungoides,60,27,0.48148148148148145,0.4727272727272727
myiasis,61,9,0.5555555555555556,0.5882352941176471
naevus comedonicus,62,10,0.5,0.5882352941176471
necrobiosis lipoidica,63,18,0.7222222222222222,0.6190476190476191
nematode infection,64,38,0.631578947368421,0.5454545454545454
neurodermatitis,65,11,0.0,0.0
neurofibromatosis,66,27,0.6296296296296297,0.6666666666666666
neurotic excoriations,67,11,0.18181818181818182,0.3076923076923077
neutrophilic dermatoses,68,55,0.5272727272727272,0.5043478260869565
nevocytic nevus,69,12,0.3333333333333333,0.3076923076923077
nevus sebaceous of jadassohn,70,14,0.14285714285714285,0.19047619047619047
papilomatosis confluentes and reticulate,71,23,0.8695652173913043,0.7843137254901961
paronychia,72,8,0.375,0.3
pediculosis lids,73,22,0.9090909090909091,0.7843137254901961
perioral dermatitis,74,9,0.3333333333333333,0.25
photodermatoses,75,51,0.3333333333333333,0.37362637362637363
pilar cyst,76,14,0.5,0.45161290322580644
pilomatricoma,77,8,0.375,0.3333333333333333
pityriasis lichenoides chronica,78,10,0.6,0.5
pityriasis rosea,79,28,0.5714285714285714,0.5161290322580645
pityriasis rubra pilaris,80,41,0.8292682926829268,0.7472527472527473
porokeratosis actinic,81,27,0.8148148148148148,0.8148148148148148
porokeratosis of mibelli,82,11,0.6363636363636364,0.5
porphyria,83,19,0.2631578947368421,0.3125
port wine stain,84,9,0.2222222222222222,0.25
prurigo nodularis,85,25,0.8,0.6666666666666666
psoriasis,86,99,0.3333333333333333,0.4
pustular psoriasis,87,8,0.125,0.16666666666666666
pyogenic granuloma,88,18,0.16666666666666666,0.2
rhinophyma,89,14,0.7142857142857143,0.5882352941176471
rosacea,90,15,0.2,0.16216216216216217
sarcoidosis,91,51,0.3137254901960784,0.43243243243243246
scabies,92,51,0.5686274509803921,0.5686274509803921
scleroderma,93,47,0.3617021276595745,0.3300970873786408
scleromyxedema,94,15,0.4,0.4444444444444444
seborrheic dermatitis,95,19,0.42105263157894735,0.4444444444444444
seborrheic keratosis,96,11,0.18181818181818182,0.25
solid cystic basal cell carcinoma,97,9,0.1111111111111111,0.1111111111111111
squamous cell carcinoma,98,88,0.4659090909090909,0.5030674846625767
stasis edema,99,9,0.2222222222222222,0.17391304347826086
stevens johnson syndrome,100,17,0.47058823529411764,0.37209302325581395
striae,101,10,0.1,0.1111111111111111
sun damaged skin,102,9,0.0,0.0
superficial spreading melanoma ssm,103,18,0.5,0.4
syringoma,104,18,0.7222222222222222,0.7647058823529411
telangiectases,105,18,0.16666666666666666,0.21428571428571427
tick bite,106,10,0.1,0.08695652173913043
tuberous sclerosis,107,21,0.6190476190476191,0.6046511627906976
tungiasis,108,23,0.9565217391304348,0.88
urticaria,109,23,0.43478260869565216,0.3333333333333333
urticaria pigmentosa,110,17,0.4117647058823529,0.3684210526315789
vitiligo,111,24,0.5,0.5581395348837209
xanthomas,112,8,0.25,0.36363636363636365
xeroderma pigmentosum,113,11,0.7272727272727273,0.45714285714285713
