metric,baseline,m3,change,direction,better_direction
Accuracy,0.0904761904761904,0.0809523809523809,-0.009523809523809504,Degraded,Higher
Balanced Accuracy,0.0792589166563483,0.117338264918323,0.038079348261974705,Improved,Higher
Macro Precision,0.2224889955982392,0.1658163265306122,-0.056672669067626996,Degraded,Higher
Macro Recall,0.0792589166563483,0.117338264918323,0.038079348261974705,Improved,Higher
Macro F1,0.1023895712935121,0.1021854198668714,-0.0002041514266407085,Degraded,Higher
Weighted F1,0.1302387586870345,0.1144516555726233,-0.0157871031144112,Degraded,Higher
WGA,0.0588235294117647,0.0588235294117647,0.0,Unchanged,Higher
EOD,0.0620555914673561,0.0400775694893341,-0.021978021978021997,Improved,Lower
DPD,0.0620555914673561,0.0400775694893341,-0.021978021978021997,Improved,Lower
EqOD,0.0620555914673561,0.0400775694893341,-0.021978021978021997,Improved,Lower
Accuracy Gap,0.0620555914673561,0.0400775694893341,-0.021978021978021997,Improved,Lower
Macro-F1 Gap,0.0444444444444444,0.0772005772005772,0.0327561327561328,Degraded,Lower
