disease,count
melanocytic-nevi,119
seborrheic-keratosis,58
verruca-vulgaris,50
basal-cell-carcinoma,41
epidermal-cyst,35
mycosis-fungoides,32
squamous-cell-carcinoma-in-situ,28
dermatofibroma,22
acrochordon,19
squamous-cell-carcinoma,17
dysplastic-nevus,16
pyogenic-granuloma,14
seborrheic-keratosis-irritated,14
neurofibroma,12
angioma,11
eccrine-poroma,10
squamous-cell-carcinoma-keratoacanthoma,8
melanoma,7
melanoma-acral-lentiginous,7
melanoma-in-situ,6
lipoma,6
basal-cell-carcinoma-nodular,6
nevus-lipomatosus-superficialis,6
blue-nevus,6
molluscum-contagiosum,6
kaposi-sarcoma,6
inverted-follicular-keratosis,5
prurigo-nodularis,5
metastatic-carcinoma,5
actinic-keratosis,4
eczema-spongiotic-dermatitis,4
solar-lentigo,4
trichilemmoma,3
hyperpigmentation,3
arteriovenous-hemangioma,3
abrasions-ulcerations-and-physical-injuries,3
benign-keratosis,3
basal-cell-carcinoma-superficial,2
graft-vs-host-disease,2
fibrous-papule,2
onychomycosis,2
trichofolliculoma,2
foreign-body-granuloma,2
scar,2
acquired-digital-fibrokeratoma,2
syringocystadenoma-papilliferum,2
xanthogranuloma,2
condyloma-accuminatum,2
focal-acral-hyperkeratosis,1
subcutaneous-t-cell-lymphoma,1
wart,1
epidermal-nevus,1
angioleiomyoma,1
lymphocytic-infiltrations,1
hematoma,1
keloid,1
verruciform-xanthoma,1
morphea,1
neuroma,1
acne-cystic,1
atypical-spindle-cell-nevus-of-reed,1
folliculitis,1
dermatomyositis,1
pigmented-spindle-cell-nevus-of-reed,1
nodular-melanoma-(nm),1
cellular-neurothekeoma,1
lichenoid-keratosis,1
reactive-lymphoid-hyperplasia,1
coccidioidomycosis,1
glomangioma,1
leukemia-cutis,1
sebaceous-carcinoma,1
chondroid-syringoma,1
tinea-pedis,1
clear-cell-acanthoma,1
abscess,1
blastic-plasmacytoid-dendritic-cell-neoplasm,1
acral-melanotic-macule,1
