disease,support,accuracy,f1
actinic keratosis,4,0.0,0.0
basal cell carcinoma,41,0.14634146341463414,0.010638297872340425
dermatofibroma,22,0.13636363636363635,0.014117647058823528
dermatomyositis,1,0.0,0.0
epidermal nevus,1,0.0,0.0
folliculitis,1,0.0,0.0
kaposi sarcoma,6,0.0,0.0
keloid,1,0.0,0.0
melanoma,7,0.2857142857142857,0.07407407407407407
mycosis fungoides,32,0.0,0.0
prurigo nodularis,5,0.2,0.06666666666666667
pyogenic granuloma,14,0.07142857142857142,0.013333333333333332
seborrheic keratosis,58,0.034482758620689655,0.002564102564102564
squamous cell carcinoma,17,0.23529411764705882,0.029304029304029304
