Metric,Desired Direction,Baseline,M2,Change,Result,Improved
Accuracy,Higher,0.0904761904761904,0.1,0.009523809523809601,Improved,True
Balanced Accuracy,Higher,0.0792589166563483,0.205647424502334,0.1263885078459857,Improved,True
Macro Precision,Higher,0.2224889955982392,0.0496279761904761,-0.1728610194077631,Degraded,False
Macro Recall,Higher,0.0792589166563483,0.0449853741098855,-0.034273542546462796,Degraded,False
Macro F1,Higher,0.1023895712935121,0.0324530769969278,-0.0699364942965843,Degraded,False
Weighted F1,Higher,0.1302387586870345,0.1314442981493672,0.0012055394623327054,Improved,True
WGA,Higher,0.0588235294117647,0.0588235294117647,0.0,No change,False
EOD,Closer to 0,0.20320261437908496,0.157781217750258,-0.045421396628826965,Improved,True
DPD,Closer to 0,0.03546033798134639,0.030908517253055,-0.004551820728291387,Improved,True
EqOD,Closer to 0,0.20993746286393344,0.1651253715873503,-0.044812091276583144,Improved,True
Accuracy Gap,Lower,0.0620555914673561,0.0620555914673561,0.0,No change,False
Macro-F1 Gap,Lower,0.0444444444444444,0.0513707390903486,0.006926294645904205,Degraded,False
