disease,sample_count
psoriasis,456
squamous cell carcinoma,406
lichen planus,343
basal cell carcinoma,329
allergic contact dermatitis,301
lupus erythematosus,287
neutrophilic dermatoses,250
photodermatoses,244
sarcoidosis,244
folliculitis,239
scabies,237
acne vulgaris,234
scleroderma,217
pityriasis rubra pilaris,195
melanoma,183
nematode infection,182
erythema multiforme,166
granuloma annulare,148
eczema,143
drug eruption,139
pityriasis rosea,135
neurofibromatosis,132
mycosis fungoides,128
porokeratosis actinic,128
acne,128
actinic keratosis,122
hailey hailey disease,121
prurigo nodularis,118
vitiligo,116
kaposi sarcoma,110
keloid,109
dariers disease,107
tungiasis,107
pediculosis lids,106
dermatomyositis,106
urticaria,106
papilomatosis confluentes and reticulate,105
juvenile xanthogranuloma,104
tuberous sclerosis,99
lyme disease,91
ehlers danlos syndrome,89
syringoma,89
porphyria,89
seborrheic dermatitis,88
telangiectases,87
fixed eruptions,87
necrobiosis lipoidica,86
superficial spreading melanoma ssm,83
stevens johnson syndrome,79
urticaria pigmentosa,79
lupus subacute,78
pyogenic granuloma,78
milia,78
malignant melanoma,77
scleromyxedema,75
cheilitis,74
incontinentia pigmenti,72
rosacea,71
lymphangioma,71
fordyce spots,70
lichen simplex,68
nevus sebaceous of jadassohn,66
mucinosis,65
pilar cyst,65
acrodermatitis enteropathica,65
epidermal nevus,64
acanthosis nigricans,64
hidradenitis,63
rhinophyma,63
erythema annulare centrifigum,62
nevocytic nevus,61
halo nevus,58
lentigo maligna,58
dyshidrotic eczema,58
erythema nodosum,57
xeroderma pigmentosum,57
mucous cyst,56
porokeratosis of mibelli,56
keratosis pilaris,55
dermatofibroma,55
calcinosis cutis,55
lichen amyloidosis,54
granuloma pyogenic,53
tick bite,52
pityriasis lichenoides chronica,52
naevus comedonicus,52
neurotic excoriations,51
aplasia cutis,51
drug induced pigmentary changes,50
stasis edema,49
congenital nevus,49
epidermolysis bullosa,48
neurodermatitis,48
seborrheic keratosis,48
striae,47
myiasis,47
solid cystic basal cell carcinoma,47
factitial dermatitis,47
acquired autoimmune bullous diseaseherpes gestationis,46
ichthyosis vulgaris,46
sun damaged skin,45
behcets disease,44
langerhans cell histiocytosis,43
basal cell carcinoma morpheiform,43
becker nevus,43
perioral dermatitis,43
paronychia,42
livedo reticularis,42
port wine stain,42
disseminated actinic porokeratosis,41
pilomatricoma,38
erythema elevatum diutinum,38
xanthomas,37
pustular psoriasis,37
