disease,best_group,best_accuracy,worst_group,worst_accuracy,accuracy_gap,accuracy_gap_pp,groups_available,total_support,robust_disparity
actinic keratosis,Dark,1.0,Unknown,0.0,1.0,100.0,4,26,True
pityriasis rubra pilaris,Unknown,1.0,Light,0.0,1.0,100.0,4,41,True
kaposi sarcoma,Medium,0.9,Light,0.0,0.9,90.0,3,21,True
dermatomyositis,Medium,0.8571428571428571,Dark,0.0,0.8571428571428571,85.71428571428571,3,21,True
scleroderma,Dark,0.8571428571428571,Unknown,0.0,0.8571428571428571,85.71428571428571,4,47,True
nematode infection,Dark,0.8333333333333334,Unknown,0.0,0.8333333333333334,83.33333333333334,4,38,True
neurofibromatosis,Dark,0.8181818181818182,Light,0.0,0.8181818181818182,81.81818181818183,3,27,True
allergic contact dermatitis,Unknown,1.0,Light,0.282051282051282,0.7179487179487181,71.79487179487181,4,64,True
acne vulgaris,Medium,0.7142857142857143,Dark,0.0,0.7142857142857143,71.42857142857143,3,51,True
mycosis fungoides,Medium,0.7,Dark,0.0,0.7,70.0,4,27,True
lichen planus,Medium,0.6774193548387096,Unknown,0.0,0.6774193548387096,67.74193548387096,4,74,True
basal cell carcinoma,Unknown,1.0,Light,0.3333333333333333,0.6666666666666667,66.66666666666667,4,70,True
vitiligo,Medium,0.6363636363636364,Unknown,0.0,0.6363636363636364,63.63636363636363,4,24,True
juvenile xanthogranuloma,Medium,0.6,Dark,0.0,0.6,60.0,3,22,True
erythema multiforme,Medium,0.5333333333333333,Dark,0.0,0.5333333333333333,53.333333333333336,3,35,True
granuloma annulare,Medium,0.5333333333333333,Dark,0.0,0.5333333333333333,53.333333333333336,3,32,True
prurigo nodularis,Medium,0.9285714285714286,Dark,0.4,0.5285714285714286,52.85714285714286,3,25,True
lupus erythematosus,Dark,0.7142857142857143,Light,0.217391304347826,0.4968944099378883,49.68944099378883,4,62,True
urticaria,Medium,0.75,Light,0.2727272727272727,0.4772727272727273,47.72727272727273,2,23,True
melanoma,Medium,0.4615384615384615,Unknown,0.0,0.4615384615384615,46.15384615384615,4,40,True
acne,Dark,0.5,Light,0.0588235294117647,0.4411764705882353,44.11764705882353,3,27,True
scabies,Medium,0.75,Light,0.3125,0.4375,43.75,4,51,True
sarcoidosis,Medium,0.4375,Unknown,0.0,0.4375,43.75,4,51,True
squamous cell carcinoma,Medium,0.6896551724137931,Unknown,0.2857142857142857,0.40394088669950745,40.39408866995075,4,88,True
hailey hailey disease,Dark,1.0,Light,0.6,0.4,40.0,3,27,True
photodermatoses,Medium,0.4,Dark,0.0,0.4,40.0,3,51,True
tungiasis,Light,1.0,Unknown,0.6666666666666666,0.33333333333333337,33.333333333333336,4,23,True
pediculosis lids,Light,1.0,Unknown,0.6666666666666666,0.33333333333333337,33.333333333333336,3,22,True
folliculitis,Dark,0.8333333333333334,Unknown,0.5,0.33333333333333337,33.333333333333336,4,51,True
ehlers danlos syndrome,Dark,1.0,Light,0.6666666666666666,0.33333333333333337,33.333333333333336,3,20,True
tuberous sclerosis,Dark,0.6666666666666666,Light,0.3333333333333333,0.3333333333333333,33.33333333333333,3,21,True
pityriasis rosea,Medium,0.6875,Light,0.375,0.3125,31.25,3,28,True
neutrophilic dermatoses,Medium,0.7222222222222222,Light,0.4285714285714285,0.2936507936507937,29.36507936507937,4,55,True
papilomatosis confluentes and reticulate,Dark,1.0,Light,0.75,0.25,25.0,3,23,True
keloid,Dark,0.8333333333333334,Light,0.625,0.20833333333333337,20.833333333333336,3,22,True
porokeratosis actinic,Dark,1.0,Light,0.8,0.19999999999999996,19.999999999999996,3,27,True
eczema,Light,0.1764705882352941,Dark,0.0,0.1764705882352941,17.64705882352941,3,29,True
drug eruption,Medium,0.4,Light,0.25,0.15000000000000002,15.000000000000002,3,30,True
psoriasis,Dark,0.5384615384615384,Unknown,0.4,0.1384615384615384,13.846153846153841,4,99,True
dariers disease,Light,0.0,Light,0.0,0.0,0.0,3,22,True
