disease,support,precision,recall,f1
class_23,20.0,0.5666666666666667,0.85,0.68
class_104,18.0,0.6842105263157895,0.7222222222222222,0.7027027027027027
class_46,13.0,0.8888888888888888,0.6153846153846154,0.7272727272727273
class_43,22.0,0.7272727272727273,0.7272727272727273,0.7272727272727273
class_73,22.0,0.6060606060606061,0.9090909090909092,0.7272727272727273
class_80,41.0,0.6862745098039216,0.8536585365853658,0.7608695652173914
class_36,27.0,0.84,0.7777777777777778,0.8076923076923077
class_71,23.0,0.8,0.8695652173913043,0.8333333333333334
class_81,27.0,0.88,0.8148148148148148,0.8461538461538461
class_108,23.0,0.8461538461538461,0.9565217391304348,0.8979591836734694
